statement_type,file_name,file_path,line,statement_extract,status
threshold relevance statement,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,41,"Thus the threshold relevance interface is now independently named and no longer has to be inferred from FCL, NegativeTransfer, ChannelCompatibility, O2, B3, and FiniteCertificate separately.",found
threshold relevance statement,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,358,2. prove the threshold relevance implication without relying on CSV classifications;,found
threshold relevance statement,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,7,"**Purpose:** Isolate the theorem needed to show that any surviving first-crossing obstruction must be threshold-relevant, i.e. must satisfy \(Q_{\rm R2Q}(J)>3/4\), rather than hiding in the neutral harmless zone.",found
threshold relevance statement,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,13,The next logical gap after FullFCL and NeutralClause isolation is the **threshold relevance** step.,found
threshold relevance statement,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,78,"\text{if a first crossing survives, it must produce a threshold-relevant local obstruction.}",found
threshold relevance statement,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,137,The threshold-relevant regime is:,found
threshold relevance statement,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,257,So a positive first-crossing candidate cannot be threshold-relevant unless another theorem says the selected local obstruction is not represented by \(Q_{\rm R2Q}\). That is exactly what the admissible BlockSystem and coordinate-availability layers are meant t,found
threshold relevance statement,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,494,Routes threshold-relevant rows into \(\mathcal C_-\).,found
threshold relevance statement,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,550,"\text{audit whether every row classified as a first-crossing survivor is threshold-relevant, and whether all subthreshold rows are harmless/repaid/finite.}",found
threshold relevance statement,Prime_Mesh_R2Q_FullFCL_Reclosure_Update_v2.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Reclosure_Update_v2.md,258,Now split by threshold relevance.,found
threshold relevance statement,Prime_Mesh_R2Q_FullFCL_Reclosure_Update_v2.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Reclosure_Update_v2.md,280,### Case 2 — Threshold-relevant row,found
theta-envelope coverage statement,Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,6,**Status:** Missing finite continuous theta-envelope certificate specified,found
theta-envelope coverage statement,Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,7,**Purpose:** Specify the exact finite computation needed to close the remaining all-\(x<P_0\) theta-envelope certificate.,found
theta-envelope coverage statement,Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,15,The remaining missing item is the continuous finite theta-envelope certificate:,found
theta-envelope coverage statement,Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,447,The finite theta-envelope certificate passes if:,found
theta-envelope coverage statement,Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,558,"\text{finite candidate certificate passes, but continuous finite theta-envelope certificate is pending.}",found
theta-envelope coverage statement,Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,568,No final all-\(x\) theta-envelope theorem should be claimed until this certificate passes or until a classical explicit bound is imported that covers this range.,found
theta-envelope coverage statement,Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,582,"Close the missing continuous finite theta-envelope certificate for x < P0 = 500,000,000.",found
theta-envelope coverage statement,Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,584,The previous FiniteCertificate package passed candidate-level certification but did not run the continuous theta-envelope check because no exact theta prefix table was found.,found
theta-envelope coverage statement,Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md,6,**Status:** Finite continuous theta-envelope certificate closed and independently validated,found
theta-envelope coverage statement,Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md,7,**Purpose:** Integrate the finite theta-envelope certificate into the RH repair-and-close proof stack.,found
theta-envelope coverage statement,Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md,13,The missing finite continuous theta-envelope certificate is now closed.,found
theta-envelope coverage statement,Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md,45,Therefore any global theta-envelope constant satisfying:,found
classical RH/von Koch statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,763,The classical von Koch criterion states that RH is equivalent to an RH-scale prime-counting error:,found
classical RH/von Koch statement,Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,569,4. von Koch criterion;,found
classical RH/von Koch statement,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,71,"By von Koch, such a bound is equivalent to RH.",found
classical RH/von Koch statement,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,149,von Koch,found
classical RH/von Koch statement,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,399,classical RH/von Koch statement,found
classical RH/von Koch statement,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,506,Use if local no-first-crossing exists but no von Koch/RH-scale connection is stated.,found
classical RH/von Koch statement,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,617,von Koch / RH-scale status.,found
classical RH/von Koch statement,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,656,- von Koch,found
classical RH/von Koch statement,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,666,7. Is there an explicit von Koch/RH-scale bridge?,found
classical RH/von Koch statement,Prime_Mesh_R2Q_GlobalBridge_to_RH_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Proof_Attack_v1.md,59,The classical von Koch criterion gives the RH-scale prime-counting form:,found
classical RH/von Koch statement,Prime_Mesh_R2Q_GlobalBridge_to_RH_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Proof_Attack_v1.md,225,"By the von Koch criterion, this implies RH.",found
classical RH/von Koch statement,Prime_Mesh_R2Q_GlobalBridge_to_RH_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Proof_Attack_v1.md,534,von Koch,found
RH-scale target statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,247,"\frac{\|B_J\|_{2,T_J}}{\sqrt h\log^2 p^*}",found
RH-scale target statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,249,\frac{10}{\log^2p^*}.,found
RH-scale target statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,757,11. The remaining RH implication still depends on the broader conditional bridge from this row-level obstruction system to the RH-scale global statement.,found
RH-scale target statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,763,The classical von Koch criterion states that RH is equivalent to an RH-scale prime-counting error:,found
RH-scale target statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,766,\pi(x)=\operatorname{Li}(x)+O(\sqrt{x}\log x).,found
RH-scale target statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,769,The Prime Mesh/R2Q program aims to show that the local R2Q obstruction system prevents first crossing / forbidden endpoint behavior sufficient to imply the RH-scale bound.,found
RH-scale target statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,805,- make explicit how the local R2Q row-class closure implies the global RH-scale prime-counting bound.,found
RH-scale target statement,Prime_Mesh_R2Q_FiniteCertificate_Index_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteCertificate_Index_v1.md,785,The local obstruction stack still needs an explicit global bridge to RH-scale prime-counting control.,found
RH-scale target statement,Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,21,C_\theta\sqrt{x}\log^2x,found
RH-scale target statement,Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,73,\frac{|\theta(x)-x|}{\sqrt{x}\log^2x},found
RH-scale target statement,Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,119,M(x)=\sqrt{x}\log^2x,found
RH-scale target statement,Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md,168,\frac{|\theta(n)-n|}{\sqrt n\log^2 n}.,found
finite-zone certificate statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,184,Thus negative subthreshold rows are repaid / non-surviving / finite-certified / numerically neutralized.,found
finite-zone certificate statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,647,## 12. Finite Certificates,found
finite-zone certificate statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,649,Finite certificates remain part of the proof/certificate stack.,found
finite-zone certificate statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,686,A separate finite certificate index should collect these.,found
finite-zone certificate statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,811,- replace finite certificates with symbolic lemmas where possible;,found
finite-zone certificate statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,848,\text{all finite certificates replaced by symbolic proofs.},found
finite-zone certificate statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,889,"The final RH result remains conditional on the global bridge from this local obstruction stack to the classical RH criterion, and on acceptance/reproducibility of the finite certificate components.",found
finite-zone certificate statement,Prime_Mesh_R2Q_FiniteCertificate_Index_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteCertificate_Index_v1.md,29,\text{finite certificates are still part of the proof architecture.},found
finite-zone certificate statement,Prime_Mesh_R2Q_FiniteCertificate_Index_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteCertificate_Index_v1.md,651,"The \(Q_{\rm energy,L2}\le0.025\) bound is false globally, but all over-energy rows are finite-certified / non-dangerous / non-surviving.",found
finite-zone certificate statement,Prime_Mesh_R2Q_FiniteCertificate_Index_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteCertificate_Index_v1.md,708,|       |-- high-W short finite certificate,found
finite-zone certificate statement,Prime_Mesh_R2Q_FiniteCertificate_Index_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteCertificate_Index_v1.md,728,|-- Finite certificate index,found
finite-zone certificate statement,Prime_Mesh_R2Q_FiniteCertificate_Index_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteCertificate_Index_v1.md,815,It does not eliminate those finite certificates.,found
threshold transfer statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,32,2. **EndpointMotion direct threshold sign**,found
threshold transfer statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,34,Q_{\rm R2Q}>0.75\Rightarrow E_\theta<0.,found
threshold transfer statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,729,6. Direct threshold sign:,found
threshold transfer statement,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,783,| Direct threshold sign | closed |,found
threshold transfer statement,Prime_Mesh_R2Q_FiniteCertificate_Index_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FiniteCertificate_Index_v1.md,711,|-- EndpointMotion direct threshold sign,found
threshold transfer statement,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,20,"Q_{\rm R2Q}>0.75\Rightarrow E_\theta<0,",found
threshold transfer statement,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,104,Q_{\rm R2Q}>0.75\Rightarrow E_\theta<0.,found
threshold transfer statement,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,262,Q_{\rm R2Q}>0.75\Rightarrow E_\theta<0.,found
threshold transfer statement,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,421,Q_{\rm R2Q}>0.75\Rightarrow E_\theta<0.,found
threshold transfer statement,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_Spec_v1.md,663,4. Does it use the updated direct threshold sign Q_R2Q > 0.75 => E_theta < 0?,found
threshold transfer statement,Prime_Mesh_R2Q_GlobalBridge_to_RH_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Proof_Attack_v1.md,22,"Q_{\rm R2Q}>0.75\Rightarrow E_\theta<0,",found
