statement_id,file_name,file_path,line,statement_type,statement_text_or_paraphrase,scope,v5_compatible,needs_repair
S0014,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,123,certificate result statement,### Lemma FirstCrossingThresholdRelevance — Empirical Closure Form,theorem_or_unspecified,True,False
S0015,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,125,certificate result statement,"For every row in the consolidated FCL / NegativeTransfer / ChannelCompatibility / O2 / B3 / finite-certificate inventory, if:",theorem_or_unspecified,True,False
S0016,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,128,0.75 constant justification,"Q_{\rm R2Q}(J)\le\frac34,",theorem_or_unspecified,True,False
S0017,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,136,continuous/discrete scope statement,4. endpoint repaid;,theorem_or_unspecified,True,False
S0018,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,137,continuous/discrete scope statement,5. finite-candidate certified;,candidate_set,True,False
S0019,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,144,0.75 constant justification,Q_{\rm R2Q}(J)\le\frac34,theorem_or_unspecified,True,False
S0020,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,146,first-crossing obstruction definition,J\text{ cannot support a surviving first-crossing obstruction.},theorem_or_unspecified,True,False
S0021,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,146,subthreshold non-obstruction statement,J\text{ cannot support a surviving first-crossing obstruction.},theorem_or_unspecified,True,False
S0022,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,154,first-crossing obstruction definition,\text{surviving first-crossing obstruction},theorem_or_unspecified,True,False
S0023,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,156,0.75 constant justification,Q_{\rm R2Q}(J)>\frac34.,theorem_or_unspecified,True,False
S0024,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,162,subthreshold non-obstruction statement,## 4. Subthreshold Resolution Ledger,theorem_or_unspecified,True,False
S0025,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,164,subthreshold non-obstruction statement,The audit resolved subthreshold rows through several already-closed channels:,theorem_or_unspecified,True,False
S0026,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,167,subthreshold non-obstruction statement,"\texttt{positive\_harmless\_subthreshold\_count}=7800,",theorem_or_unspecified,True,False
S0027,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,171,subthreshold non-obstruction statement,"\texttt{O2\_repaid\_subthreshold\_count}=4690,",theorem_or_unspecified,True,False
S0028,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,175,subthreshold non-obstruction statement,"\texttt{B3\_no\_accumulation\_subthreshold\_count}=5865,",theorem_or_unspecified,True,False
S0029,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,179,subthreshold non-obstruction statement,"\texttt{endpoint\_repaid\_subthreshold\_count}=2790,",theorem_or_unspecified,True,False
S0030,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,179,continuous/discrete scope statement,"\texttt{endpoint\_repaid\_subthreshold\_count}=2790,",theorem_or_unspecified,True,False
S0031,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,183,subthreshold non-obstruction statement,\texttt{finite\_certified\_subthreshold\_count}=9269.,theorem_or_unspecified,True,False
S0032,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,194,subthreshold non-obstruction statement,\text{no subthreshold row survives all harmless/repaid/certified filters.},theorem_or_unspecified,True,False
S0033,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,205,0.75 constant justification,Q_{\rm R2Q}(J)\le\frac34,theorem_or_unspecified,True,False
S0034,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,207,first-crossing obstruction definition,J\text{ still supports a first-crossing obstruction.},theorem_or_unspecified,True,False
S0035,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,213,subthreshold non-obstruction statement,\texttt{subthreshold\_surviving\_proxy\_count}=0.,theorem_or_unspecified,True,False
S0036,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,220,0.75 constant justification,Q_{\rm R2Q}(J)\le\frac34,theorem_or_unspecified,True,False
S0037,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,229,0.75 constant justification,Q_{\rm R2Q}(J)>\frac34,theorem_or_unspecified,True,False
S0038,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,243,0.75 constant justification,"Q_{\rm R2Q}(J)>\frac34 &\Rightarrow \text{negative-channel repayment route},\\",theorem_or_unspecified,True,False
S0039,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,244,0.75 constant justification,Q_{\rm R2Q}(J)\le\frac34 &\Rightarrow \text{neutral/harmless/non-surviving route}.,theorem_or_unspecified,True,False
S0040,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,251,FullFCL threshold statement,## 6. Relation to FullFCL,theorem_or_unspecified,True,False
S0041,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,253,FullFCL threshold statement,FullFCL needs to argue that a first crossing cannot survive.,theorem_or_unspecified,True,False
S0042,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,257,continuous/discrete scope statement,Let a candidate-selected block be:,candidate_set,True,False
S0043,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,266,0.75 constant justification,"Q_{\rm R2Q}(J)>\frac34,",theorem_or_unspecified,True,False
S0044,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,272,0.75 constant justification,Q_{\rm R2Q}(J)>\frac34,theorem_or_unspecified,True,False
S0045,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,286,0.75 constant justification,"Q_{\rm R2Q}(J)\le\frac34,",theorem_or_unspecified,True,False
S0046,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,292,subthreshold non-obstruction statement,"J\text{ is harmless, repaid, finite-certified, or non-surviving.}",theorem_or_unspecified,True,False
S0047,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,295,first-crossing obstruction definition,Therefore no first-crossing obstruction survives either branch.,theorem_or_unspecified,True,False
S0048,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,297,subthreshold non-obstruction statement,This strengthens the formal FullFCL theorem target by giving the neutral/subthreshold case a dedicated closure artifact.,theorem_or_unspecified,True,False
S0049,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,297,FullFCL threshold statement,This strengthens the formal FullFCL theorem target by giving the neutral/subthreshold case a dedicated closure artifact.,theorem_or_unspecified,True,False
S0050,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,309,certificate result statement,This file was missing from the repair `scripts and results` folder because the finite-theta certificate outputs were produced in the consolidated `00_guides` folder.,theorem_or_unspecified,True,False
S0051,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,311,certificate result statement,This did not affect the ThresholdRelevance pass because the finite candidate certificate was present and sufficient for the row-level neutral audit.,candidate_set,True,False
S0052,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,311,continuous/discrete scope statement,This did not affect the ThresholdRelevance pass because the finite candidate certificate was present and sufficient for the row-level neutral audit.,candidate_set,True,False
S0053,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,317,certificate result statement,Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_v1.md,theorem_or_unspecified,True,False
S0054,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,331,first-crossing obstruction definition,\text{surviving first-crossing obstruction},theorem_or_unspecified,True,False
S0055,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,333,0.75 constant justification,Q_{\rm R2Q}(J)>\frac34.,theorem_or_unspecified,True,False
S0056,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,337,subthreshold non-obstruction statement,It also closes the subthreshold harmless branch:,theorem_or_unspecified,True,False
S0057,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,341,0.75 constant justification,Q_{\rm R2Q}(J)\le\frac34,theorem_or_unspecified,True,False
S0058,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,347,FullFCL threshold statement,This means the FullFCL proof now has no unassigned threshold branch in the audited inventory.,candidate_set,True,False
S0059,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,347,certificate result statement,This means the FullFCL proof now has no unassigned threshold branch in the audited inventory.,candidate_set,True,False
S0060,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,353,certificate result statement,"This is still an empirical closure update, not a formal analytic proof.",theorem_or_unspecified,True,False
S0061,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,357,first-crossing obstruction definition,1. define the surviving first-crossing obstruction predicate analytically;,theorem_or_unspecified,True,False
S0062,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,358,threshold relevance definition,2. prove the threshold relevance implication without relying on CSV classifications;,theorem_or_unspecified,True,False
S0063,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,360,continuous/discrete scope statement,4. prove the O2/B3/endpoint repayment tags correspond to analytic repayment mechanisms;,theorem_or_unspecified,True,False
S0064,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,361,certificate result statement,5. mirror the finite-theta certificate outputs into the repair results folder for reproducible packaging.,theorem_or_unspecified,True,False
S0065,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,377,subthreshold non-obstruction statement,\text{integrate ThresholdRelevance into the NeutralClause and close the neutral/subthreshold branch.},theorem_or_unspecified,True,False
S0066,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,381,FullFCL threshold statement,"After that, the FullFCL formal target can be updated with the neutral branch fully named.",theorem_or_unspecified,True,False
S0067,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md,403,certificate result statement,The proof stack should now cite this file as the named empirical closure for the NeutralClause threshold interface.,theorem_or_unspecified,True,False
S0068,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,7,threshold relevance definition,"**Purpose:** Isolate the theorem needed to show that any surviving first-crossing obstruction must be threshold-relevant, i.e. must satisfy \(Q_{\rm R2Q}(J)>3/4\), rather than hiding in the neutral harmless zone.",theorem_or_unspecified,True,False
S0069,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,7,first-crossing obstruction definition,"**Purpose:** Isolate the theorem needed to show that any surviving first-crossing obstruction must be threshold-relevant, i.e. must satisfy \(Q_{\rm R2Q}(J)>3/4\), rather than hiding in the neutral harmless zone.",theorem_or_unspecified,True,False
S0070,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,7,0.75 constant justification,"**Purpose:** Isolate the theorem needed to show that any surviving first-crossing obstruction must be threshold-relevant, i.e. must satisfy \(Q_{\rm R2Q}(J)>3/4\), rather than hiding in the neutral harmless zone.",theorem_or_unspecified,True,False
S0071,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md,13,threshold relevance definition,The next logical gap after FullFCL and NeutralClause isolation is the **threshold relevance** step.,theorem_or_unspecified,True,False
