gap_id,gap_start,gap_end,gap_length,why_unknown,needed_data_or_lemma
gap_022,604205663,604205808,145,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_023,604205809,604206345,536,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_024,604206971,604207242,271,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_025,604207243,604207847,604,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_026,604208350,604322440,114090,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_027,604322441,604325296,2855,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_028,604325297,604325338,41,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_029,604325339,604335487,10148,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_030,604356173,604356978,805,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_031,604356979,604357392,413,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_032,604357393,604357542,149,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_033,604357543,604358714,1171,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_034,604360789,604361010,221,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_035,604361011,604361110,99,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_036,604361111,604363228,2117,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_037,604365031,604365196,165,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_038,604365197,604365232,35,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_039,604365233,604365312,79,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_040,604365313,604410439,45126,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_041,604432601,604432650,49,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_042,604432651,604432680,29,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_043,604432681,604432770,89,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_044,604432771,604433380,609,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_045,604434563,604435092,529,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_046,604435093,604435456,363,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_047,604435457,604435822,365,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_048,604435823,604520611,84788,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_049,604672261,604672806,545,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_050,604672807,604672950,143,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_051,604672951,604673086,135,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_052,604673087,604674856,1769,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_053,604674857,604675732,875,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_054,604675733,604676122,389,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_055,604676123,604676182,59,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_056,604676183,604676356,173,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_057,604676357,604676710,353,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_058,604676711,604678228,1517,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_059,604678229,604678930,701,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_060,604681513,604682818,1305,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_061,604685377,604685566,189,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_062,604685567,604685980,413,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_063,604685981,604686096,115,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_064,604686097,604687002,905,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_065,604687003,604687078,75,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_066,604687079,604691158,4079,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_067,604691159,604691686,527,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_068,604691687,604691862,175,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_069,604691863,604692162,299,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_070,604692163,604692298,135,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_071,604692299,604692526,227,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_072,604692527,604692972,445,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_073,604692973,604693020,47,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_074,604693021,604693458,437,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_075,604693459,604693498,39,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_076,604693499,604693768,269,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_077,604693769,604698078,4309,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_078,604698079,604700469,2390,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_079,604702619,604704593,1974,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_080,604708931,604711166,2235,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_081,604711937,604712202,265,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_082,604712203,604712502,299,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_083,604712503,604713502,999,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_084,604713503,604713540,37,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_085,604713541,604715326,1785,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_086,604715329,604715536,207,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_087,604715537,604715860,323,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_088,604715861,604718720,2859,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_089,604724143,604724506,363,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_090,604724507,604757400,32893,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_091,604810421,604810680,259,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_092,604810681,604810752,71,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_093,604810753,604810846,93,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_094,604810847,604811016,169,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_095,604811017,604811068,51,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_096,604811069,604811166,97,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_097,604811167,604811352,185,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_098,604811353,604812190,837,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_099,604813747,604813788,41,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_100,604813789,604813830,41,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_101,604813831,604814008,177,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_102,604814009,604814238,229,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_103,604814239,604814332,93,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_104,604814333,604814518,185,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_105,604814519,604814920,401,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_106,604814921,604819805,4884,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_107,604822567,604828962,6395,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_108,604828963,604829736,773,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_109,604829737,604830076,339,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_110,604830077,604838292,8215,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_111,604838293,604844050,5757,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_112,604848841,604848940,99,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_113,604848941,604849312,371,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_114,604849313,604849350,37,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_115,604849351,604863730,14379,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_116,604863731,604864228,497,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_117,604864229,604864276,47,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_118,604864277,604864888,611,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_119,604864891,604866090,1199,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_120,604866091,604866190,99,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_121,604866191,604866472,281,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_122,604866473,604869251,2778,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_123,604870961,604871020,59,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_124,604871021,604871248,227,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_125,604871249,604872087,838,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_126,604872091,604872286,195,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_127,604872287,604872472,185,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_128,604872473,604872550,77,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_129,604872551,604872576,25,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_130,604872577,604872720,143,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_131,604872721,604872760,39,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_132,604872761,604872802,41,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_133,604872803,604872870,67,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_134,604872871,604873176,305,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_135,604873177,604873348,171,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_136,604873349,604874232,883,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_137,604874233,604874692,459,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_138,604874693,604879711,5018,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_139,604883911,604884126,215,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_140,604884127,604884330,203,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
