candidate_id,block_id,E_theta,E_theta_sign,DeltaD,DeltaD_sign,Q_delta_D,Q_R2Q,sign_consistent,sign_inconsistent_flag,sign_inconsistent_positive_harmless,sign_inconsistent_threshold_relevant,sign_inconsistent_forbidden,row_status
hexc_00029,30,-113.94054074237602,negative,-2292.6780519420754,negative,0.17510748585096741,0.1879865387221068,True,False,False,False,False,primitive_full_verified
hexc_00030,31,-80.20709910296955,negative,-2126.957375998616,negative,0.16212751151346744,0.1766899326140388,True,False,False,False,False,primitive_full_verified
hexc_00031,32,-117.56184933337444,negative,-703.1382912358818,negative,0.09713660499328679,0.1154116378424172,True,False,False,False,False,primitive_full_verified
hexc_00032,33,23.99169028406876,positive,-27.20127901406522,negative,0.06943156889258409,0.0726584885625681,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00033,34,3.844187086458591,positive,-4.520837021458592,negative,0.19265355863346534,0.2157084836048593,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00034,35,11.779740665326448,positive,-12.456390600326472,negative,0.07626901476748829,0.080127585396028,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00035,36,-452.5803398765943,negative,-2604.19045438886,negative,0.13714548445978042,0.1623741874086595,True,False,False,False,False,primitive_full_verified
hexc_00036,37,6.412764017426562,positive,-7.089413952426561,negative,0.12901790519204107,0.1389495863976313,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00037,38,10.957104747706284,positive,-11.633754682706297,negative,0.08136315476443405,0.0868104441327406,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00038,39,-364.0109776889212,negative,-5972.95270429004,negative,0.21848170759405397,0.2349256240499423,True,False,False,False,False,primitive_full_verified
hexc_00039,40,-228.7179970545885,negative,-6388.011550910226,negative,0.23578937810394623,0.24963148266117,True,False,False,False,False,primitive_full_verified
hexc_00040,41,-1617.0683062109456,negative,-118889.25056613778,negative,0.7467076670478365,0.7568596623500748,True,False,False,False,False,primitive_full_verified
hexc_00041,42,-117.76229972501552,negative,-1430.1054790106923,negative,0.13015673297709843,0.1460888226947264,True,False,False,False,False,primitive_full_verified
hexc_00042,43,-151.7480364006467,negative,-1229.9006183879278,negative,0.1101458902583867,0.1300675391522673,True,False,False,False,False,primitive_full_verified
hexc_00043,44,-629.3445955758762,negative,-7902.204580257003,negative,0.22253016129984254,0.2415685632788372,True,False,False,False,False,primitive_full_verified
hexc_00044,45,-163.66723291570224,negative,-2489.441898656397,negative,0.16080955459196564,0.1752468754780604,True,False,False,False,False,primitive_full_verified
hexc_00045,46,12.3342906609052,positive,-13.01094059590514,negative,0.07317603245970992,0.0748436752518515,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00046,47,-205.7621329185172,negative,-997.9957473512264,negative,0.09573306765367764,0.1184377830877646,True,False,False,False,False,primitive_full_verified
hexc_00047,48,46.90968440981942,positive,-691.6775565305757,negative,0.1072136412049886,0.1225172337511368,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00048,49,-291.8733586694325,negative,-10356.155825807087,negative,0.2975764937115444,0.3075518627750951,True,False,False,False,False,primitive_full_verified
hexc_00049,50,-93.6529697629686,negative,-267.71927672099514,negative,0.05536606911282309,0.0793601948576568,True,False,False,False,False,primitive_full_verified
hexc_00050,51,-192.29332879440085,negative,-1468.9981860940732,negative,0.11990574866534748,0.1392439305539144,True,False,False,False,False,primitive_full_verified
hexc_00051,52,13.229260584493224,positive,-13.905910519493318,negative,0.06868070822556867,0.0713499660129912,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00052,53,22.56633807844032,positive,-24.919637948399497,negative,0.08804212044408564,0.0917954514179663,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00053,54,-113.30394854654696,negative,-1681.6041273500573,negative,0.14213410863272255,0.1547550134720171,True,False,False,False,False,primitive_full_verified
hexc_00054,55,-156.60587200935356,negative,-1099.6240179754095,negative,0.1031699645978112,0.1217247995908262,True,False,False,False,False,primitive_full_verified
hexc_00055,56,9.625130217388572,positive,-329.9465646577695,negative,0.08118295535426816,0.0952884508457212,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00056,57,-637.8829200418768,negative,-2527.025590101053,negative,0.11084258327778278,0.1434186712486546,True,False,False,False,False,primitive_full_verified
hexc_00057,58,24.97616952660599,positive,-27.32946939660235,negative,0.08063919288629051,0.0833294497303515,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00058,59,4.680172609017068,positive,-5.356822544017069,negative,0.16602909215822045,0.1707575979731007,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00059,60,37.02008815604045,positive,-43.37603271443948,negative,0.06809761570439705,0.0730965487832678,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00060,61,24.97904537377347,positive,-27.33234524376985,negative,0.08063185815170103,0.0832943901091022,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00061,62,-570.3217879884924,negative,-8753.869097322327,negative,0.23499191293373353,0.2503069484559692,True,False,False,False,False,primitive_full_verified
hexc_00062,63,-215.2921471839013,negative,-1627.3307655551475,negative,0.11365076420007666,0.1321516982536188,True,False,False,False,False,primitive_full_verified
hexc_00063,64,-1034.3984432700745,negative,-41097.65520487146,negative,0.436528398028676,0.4494568065190746,True,False,False,False,False,primitive_full_verified
hexc_00064,65,27.10131744255433,positive,-29.45461731255397,negative,0.07507232127945757,0.0792717980142518,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00065,66,12.994557592691232,positive,-13.671207527691196,negative,0.06980532097839838,0.0711424243631883,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00066,67,-265.53724747196566,negative,-2280.972504373403,negative,0.13160934175119632,0.1495716452263878,True,False,False,False,False,primitive_full_verified
hexc_00067,68,12.991201010838148,positive,-13.667850945838154,negative,0.06982167154981855,0.0712244136304279,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00068,69,-400.9453068567673,negative,-2637.631696644796,negative,0.12458626279728342,0.1469597990717331,True,False,False,False,False,primitive_full_verified
hexc_00069,70,-139.04176855224262,negative,-569.6987517866241,negative,0.07119260047589483,0.0908608054490663,True,False,False,False,False,primitive_full_verified
hexc_00070,71,12.990707629107597,positive,-13.667357564107531,negative,0.06982407555474988,0.0710316103925829,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00071,72,-113.26485440576494,negative,-249.96047798659333,negative,0.04364182645884409,0.0679786634633438,True,False,False,False,False,primitive_full_verified
hexc_00072,73,-220.51959869872007,negative,-3673.138631205552,negative,0.17082975855642113,0.1837301433813745,True,False,False,False,False,primitive_full_verified
hexc_00073,74,12.986342191006576,positive,-13.662992126006657,negative,0.06984535338381721,0.0716803042452162,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00074,75,-330.4150379443963,negative,-9888.473703891712,negative,0.2536736118314834,0.2647255241959858,True,False,False,False,False,primitive_full_verified
hexc_00075,76,6.965198290612176,positive,-7.641848225612179,negative,0.12044956175546778,0.1282261417306278,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00076,77,-198.21267981504025,negative,-737.8526257071599,negative,0.07022773512529909,0.0933658727593846,True,False,False,False,False,primitive_full_verified
hexc_00077,78,-56.25170384278789,negative,-395.00311291379376,negative,0.07315879400290866,0.0865309897820664,True,False,False,False,False,primitive_full_verified
hexc_00078,79,-330.4584709322444,negative,-8081.547700812343,negative,0.2292074218688508,0.2408302537232801,True,False,False,False,False,primitive_full_verified
hexc_00079,80,24.993182690643494,positive,-27.34648256063997,negative,0.08059189383959263,0.0831464357639209,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00080,81,13.22907411823977,positive,-13.905724053239853,negative,0.0686815873299589,0.0705955645536329,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00081,82,-68.54730774172731,negative,-323.79453525219947,negative,0.05440622301948226,0.0796044258439215,True,False,False,False,False,primitive_full_verified
hexc_00082,83,9.66716309178561,positive,-10.343813026785613,negative,0.09090395766983898,0.0952612074725035,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00083,84,12.33356227452393,positive,-13.010212209523957,negative,0.07317993057193176,0.0752538383487422,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00084,85,8.24541789858888,positive,-8.922067833588883,negative,0.10437883089286956,0.1086725867349362,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00085,86,8.6714924414986,positive,-9.3481423764986,negative,0.09993976520569149,0.1069835705399953,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00086,87,-178.26963014023477,negative,-5567.723402559313,negative,0.19107869635213975,0.2045445847739718,True,False,False,False,False,primitive_full_verified
hexc_00087,88,-37.87575835699317,negative,-218.61666116771448,negative,0.054015424276215446,0.0705553720204413,True,False,False,False,False,primitive_full_verified
hexc_00088,89,12.987907191915609,positive,-13.66455712691561,negative,0.06983772383410335,0.0739495641263946,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00089,90,-461.50121601656247,negative,-8106.104690189923,negative,0.21610233095748083,0.2296201708973325,True,False,False,False,False,primitive_full_verified
hexc_00090,91,-450.7172966904154,negative,-5434.931495367947,negative,0.17481539152050019,0.1917202756433797,True,False,False,False,False,primitive_full_verified
hexc_00091,92,14.055027034946916,positive,-14.731676969946989,negative,0.06499637082455596,0.0687276505309807,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00092,93,12.988487758598636,positive,-13.665137693598696,negative,0.06983489393195134,0.0717695715648134,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00093,94,12.334436274537484,positive,-13.011086209537496,negative,0.07317525322764606,0.0765541684740735,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00094,95,-366.6962581891348,negative,-3879.7407328734553,negative,0.14705611014008735,0.1648839859416764,True,False,False,False,False,primitive_full_verified
hexc_00095,96,-28.83790962671685,negative,-268.9157561582316,negative,0.06130470561386328,0.0753076301542394,True,False,False,False,False,primitive_full_verified
hexc_00096,97,-175.80966234322875,negative,-690.2088476648541,negative,0.07026593794595397,0.0903727573504991,True,False,False,False,False,primitive_full_verified
hexc_00097,98,-188.19672853522707,negative,-443.2519099326764,negative,0.05230060453477185,0.0761893412087709,True,False,False,False,False,primitive_full_verified
hexc_00098,99,-17.691366021948568,negative,-266.2477494151465,negative,0.05923858965846139,0.076175182058325,True,False,False,False,False,primitive_full_verified
hexc_00099,100,7.767329147794049,positive,-8.443979082794051,negative,0.1098531528794008,0.1159896775054861,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00100,101,13.228045945966745,positive,-13.904695880966642,negative,0.06868643510304372,0.070535407834942,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00101,102,-154.43846648475437,negative,-835.5915545465327,negative,0.07885308785741538,0.096662723146914,True,False,False,False,False,primitive_full_verified
hexc_00102,103,-12.808745615198404,negative,-782.6896931372066,negative,0.08230751647664125,0.0986530057695944,True,False,False,False,False,primitive_full_verified
hexc_00103,104,-165.14358633355937,negative,-855.725877447961,negative,0.08042370497303525,0.097634505621578,True,False,False,False,False,primitive_full_verified
hexc_00104,105,-688.5913402072983,negative,-16921.907040198,negative,0.27802963361184646,0.2914811871626422,True,False,False,False,False,primitive_full_verified
hexc_00105,106,5.171700597410915,positive,-5.848350532410915,negative,0.15354076367626826,0.1648068982246287,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00106,107,11.35320302633692,positive,-12.029852961336928,negative,0.07883174874813109,0.0810551545684911,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00107,108,-169.89877765908955,negative,-1118.8124807367185,negative,0.09075973584359716,0.1078488246263689,True,False,False,False,False,primitive_full_verified
hexc_00108,109,-137.96589757999288,negative,-604.6244752512366,negative,0.06586293274336268,0.0863386781827271,True,False,False,False,False,primitive_full_verified
hexc_00109,110,-127.70959529037896,negative,-655.0241926712538,negative,0.06818279601955107,0.0882379519127139,True,False,False,False,False,primitive_full_verified
hexc_00110,111,-140.46546636399898,negative,-1697.337130708749,negative,0.11870966256289346,0.1309387070981607,True,False,False,False,False,primitive_full_verified
hexc_00111,112,14.056512348440547,positive,-14.733162283440493,negative,0.0649900997036011,0.067178289113327,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00112,113,-133.72293008495535,negative,-835.7371197162352,negative,0.08048012016634527,0.0966458075650577,True,False,False,False,False,primitive_full_verified
hexc_00113,114,22.58448267109209,positive,-24.93778254105206,negative,0.08798178582913603,0.0897827713986883,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00114,115,14.054913535029169,positive,-14.731563470029188,negative,0.06499685008069155,0.0680235969848095,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00115,116,-46.90137454561159,negative,-666.5577464566404,negative,0.08303182557811953,0.0962426881171498,True,False,False,False,False,primitive_full_verified
hexc_00116,117,-3.3720180676377822,negative,-556.6135410993293,negative,0.07511774498625995,0.0927710098591296,True,False,False,False,False,primitive_full_verified
hexc_00117,118,-377.4982097341908,negative,-1085.0677523256454,negative,0.0700042897116968,0.0958698914280892,True,False,False,False,False,primitive_full_verified
hexc_00118,119,13.2297840910738,positive,-13.906434026073724,negative,0.06867824024806729,0.0705260023814927,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00119,120,-263.9525918434665,negative,-2812.800304471888,negative,0.13203684123442327,0.1470745643860575,True,False,False,False,False,primitive_full_verified
hexc_00120,121,-217.0841446013817,negative,-1087.6344517544494,negative,0.07837887439402169,0.0996639793175021,True,False,False,False,False,primitive_full_verified
hexc_00121,122,16.230566234990423,positive,-16.907216169990534,negative,0.05694728272699412,0.0587452641225273,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00122,123,14.0025051445914,positive,-14.679155079591396,negative,0.06521890305256323,0.0681011679331808,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00123,124,30.456009776270783,positive,-33.665598506270726,negative,0.056713455670736324,0.0597199396392292,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00124,125,-102.04793904212896,negative,-1122.15241752471,negative,0.09510708847027186,0.110098889929409,True,False,False,False,False,primitive_full_verified
hexc_00125,126,16.525353313570633,positive,-17.20200324857069,negative,0.05600740630478425,0.057385037625347,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00126,127,13.990114590991642,positive,-14.666764525991653,negative,0.06527162332604247,0.0687664195967628,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00127,128,-385.9233859879023,negative,-7059.687735016454,negative,0.20111695486905462,0.2128199890626043,True,False,False,False,False,primitive_full_verified
hexc_00128,129,-139.55697264443688,negative,-1280.0985765136688,negative,0.09858592980528896,0.1130432056909814,True,False,False,False,False,primitive_full_verified
hexc_00129,130,-243.7212716620761,negative,-3083.211946461258,negative,0.13902575250268706,0.1528036364238857,True,False,False,False,False,primitive_full_verified
hexc_00130,131,29.727813795617536,positive,-32.08111366561752,negative,0.0691693522625108,0.071246224678351,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00131,132,12.988948606314286,positive,-13.66559854131424,negative,0.06983264774861815,0.0709787746513286,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00132,133,-126.54371300174604,negative,-781.7068219863181,negative,0.07790160866235708,0.0943688419287908,True,False,False,False,False,primitive_full_verified
hexc_00133,134,12.989254599495716,positive,-13.665904534495668,negative,0.0698311564099448,0.0714970560553375,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00134,135,-5.285039920639065,negative,-271.95312120092467,negative,0.054340305264288055,0.0716348006649615,True,False,False,False,False,primitive_full_verified
hexc_00135,136,11.792577934264838,positive,-12.469227869264842,negative,0.07619446406342628,0.0782047695913046,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00136,137,6.944137491114112,positive,-7.620787426114113,negative,0.12075533959843474,0.1252023670442801,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00137,138,28.53656905120186,positive,-30.889868921201696,negative,0.07172752263710584,0.0741760381642046,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00138,139,-129.7691972891198,negative,-2106.388627552733,negative,0.11587029451959278,0.13072783862462,True,False,False,False,False,primitive_full_verified
hexc_00139,140,13.229380909503124,positive,-13.906030844503109,negative,0.06868014095928714,0.0706156379648199,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00140,141,15.36492236895841,positive,-16.04157230395822,negative,0.05989892582272951,0.0616477751710293,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00141,142,13.637912938756417,positive,-14.314562873756472,negative,0.06680666170834218,0.0680251836107398,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00142,143,9.658035524203411,positive,-10.334685459203412,negative,0.09097937233526061,0.0954963866947735,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00143,144,12.005984605308186,positive,-12.682634540308186,negative,0.07497612774654469,0.0786725939660381,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00144,145,13.232777087879647,positive,-13.90942702287964,negative,0.06866413370679166,0.070706350398406,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00145,146,13.232944420583566,positive,-13.909594355583522,negative,0.0686633452081087,0.0707800350270976,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00146,147,14.056438337519856,positive,-14.733088272519694,negative,0.06499041215542233,0.0670028543786573,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00147,148,11.793028409774374,positive,-12.469678344774366,negative,0.07619185063270119,0.0779234045557953,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00148,149,25.45764956203124,positive,-27.81094943202902,negative,0.07930770621417003,0.0810451897299419,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00149,150,-181.7529341824936,negative,-1138.9160956331416,negative,0.08159948297469029,0.0995905772584955,True,False,False,False,False,primitive_full_verified
hexc_00150,151,31.992251009850825,positive,-34.34555087985109,negative,0.06477774856330634,0.0668468275799452,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00151,152,14.006865794521072,positive,-14.683515729521105,negative,0.06520036927061702,0.0668271319376652,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00152,153,-288.5408809320145,negative,-1185.2750978010554,negative,0.08062245867210684,0.1012159404301471,True,False,False,False,False,primitive_full_verified
hexc_00153,154,-46.73192403059045,negative,-783.6660109766922,negative,0.09051820561273757,0.1004851300491716,True,False,False,False,False,primitive_full_verified
hexc_00154,155,-260.5729102754683,negative,-932.0165881492584,negative,0.07018431664754644,0.0926824198591366,True,False,False,False,False,primitive_full_verified
hexc_00155,156,-111.19601929144392,negative,-376.82136611255737,negative,0.05058822676419855,0.0691402528338287,True,False,False,False,False,primitive_full_verified
hexc_00156,157,12.984923320297408,positive,-13.661573255297412,negative,0.06985227197299462,0.072561666975567,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00157,158,10.00421427088809,positive,-10.680864205888083,negative,0.0882040074099491,0.0919654214564058,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00158,159,-326.6294922581101,negative,-2303.350362132319,negative,0.11087420116752512,0.127736784305964,True,False,False,False,False,primitive_full_verified
hexc_00159,160,-89.73245844873679,negative,-766.8938900258777,negative,0.07770083857780537,0.0914618710863124,True,False,False,False,False,primitive_full_verified
hexc_00160,161,-209.315923583554,negative,-883.006688561607,negative,0.06955553746476602,0.0882403302666724,True,False,False,False,False,primitive_full_verified
hexc_00161,162,12.996790739381732,positive,-13.673440674381707,negative,0.06979444711999212,0.0719876878780127,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00162,163,-89.89320921839476,negative,-1393.649967181189,negative,0.09412316974983156,0.1088223400603969,True,False,False,False,False,primitive_full_verified
hexc_00163,164,-62.1134514057519,negative,-320.8295301391008,negative,0.047742927211628615,0.0651451540987114,True,False,False,False,False,primitive_full_verified
hexc_00164,165,-107.09979019561752,negative,-1300.8074713921385,negative,0.10061224379164574,0.1129806929343217,True,False,False,False,False,primitive_full_verified
hexc_00165,166,-27.196169889806526,negative,-378.16818960660703,negative,0.056321467792020095,0.0722199673831855,True,False,False,False,False,primitive_full_verified
hexc_00166,167,-174.45589668660523,negative,-1699.7513207575412,negative,0.10210882362506386,0.1167362250522532,True,False,False,False,False,primitive_full_verified
hexc_00167,168,12.994988910012886,positive,-13.671638845012922,negative,0.06980322050165168,0.0735589050981222,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00168,169,11.793406430119706,positive,-12.47005636511966,negative,0.07618965768838006,0.0800334901917534,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00169,170,30.3715381206486,positive,-32.72483799064821,negative,0.06786151215860352,0.0694300887821649,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00170,171,-113.83924430671334,negative,-472.5772802525694,negative,0.05787036133223827,0.0736278072537615,True,False,False,False,False,primitive_full_verified
hexc_00171,172,24.99293236459349,positive,-27.34623223458982,negative,0.08059317392706945,0.0829932104381138,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00172,173,31.489312639240573,positive,-33.84261250924055,negative,0.06570431687096066,0.0687690106203953,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00173,174,-36.97787149460965,negative,-499.2839402244276,negative,0.06462894660491776,0.0784523836661713,True,False,False,False,False,primitive_full_verified
hexc_00174,175,11.625904943145828,positive,-275.4532928884128,negative,0.05646053180203018,0.0675855848506355,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00175,176,-108.11236392766864,negative,-689.6235787695141,negative,0.07332362853757014,0.0892723594368366,True,False,False,False,False,primitive_full_verified
hexc_00176,177,-231.7350443422174,negative,-3277.7856986797688,negative,0.14380926297856406,0.1561570928801292,True,False,False,False,False,primitive_full_verified
hexc_00177,178,-178.6808742050422,negative,-375.0578184447095,negative,0.041457516440913306,0.0652388028843534,True,False,False,False,False,primitive_full_verified
hexc_00178,179,12.138297093206972,positive,-290.4046647422156,negative,0.052198597188669656,0.0668106572193494,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00179,180,14.777418767184288,positive,-15.45406870218426,negative,0.06208274812972674,0.0641352518065375,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00180,181,-264.0889231567578,negative,-1093.7313259743723,negative,0.07319549342641804,0.0931836500249432,True,False,False,False,False,primitive_full_verified
hexc_00181,182,31.485257351625947,positive,-33.838557221625706,negative,0.0657118639213774,0.0676460987104531,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00182,183,-204.0286805520348,negative,-1017.3847377309448,negative,0.07571315421440726,0.0924099628241718,True,False,False,False,False,primitive_full_verified
hexc_00183,184,-365.2446493016978,negative,-16072.78416682542,negative,0.273340851201797,0.2819169646022565,True,False,False,False,False,primitive_full_verified
hexc_00184,185,-263.1556726067745,negative,-1126.5450067751608,negative,0.0742328278540055,0.09346455550884,True,False,False,False,False,primitive_full_verified
hexc_00185,186,29.817858553351044,positive,-33.027447283351194,negative,0.05775805834054687,0.0607248084445193,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00186,187,11.732370947643444,positive,-12.40902088264346,negative,0.0765453740251714,0.079871308359875,False,True,True,False,False,sign_inconsistent_positive_harmless
hexc_00187,188,-97.48691281590504,negative,-445.9374260051891,negative,0.05729909091466835,0.072244005949339,True,False,False,False,False,primitive_full_verified
