file_name,file_path,file_type,contains_firstcrossing,contains_threshold_relevance,contains_theta_envelope,contains_von_koch,contains_RH_scale,contains_failed_delta_route,contains_direct_sign,contains_finite_zone,status,notes
Prime_Mesh_R2Q_GlobalBridge_to_RH_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalBridge_to_RH_Proof_Attack_v1.md,md,True,True,True,True,True,True,True,True,proof_attack,Identifies GlobalBridge as open proof target.
Prime_Mesh_R2Q_GlobalThetaEnvelope_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalThetaEnvelope_Closure_Update_v1.md,md,True,False,True,True,True,False,False,True,candidate,Contains RH-scale/global bridge language.
Prime_Mesh_R2Q_GlobalThetaEnvelope_Reclosure_Update_v2.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_GlobalThetaEnvelope_Reclosure_Update_v2.md,md,True,False,True,False,True,False,False,True,theta_envelope_conditional,Theta envelope gives conditional theta bound from FullFCL + finite envelope.
Prime_Mesh_R2Q_Theta_FirstCrossing_Attack_Plan_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Theta_FirstCrossing_Attack_Plan_v1.md,md,True,False,True,True,True,False,False,True,empirical_theta_localization_support,Empirical theta first-crossing localization passes on audited rows.
Prime_Mesh_R2Q_Theta_FirstCrossing_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Theta_FirstCrossing_Closure_Update_v1.md,md,True,False,True,True,True,False,False,True,empirical_theta_localization_support,Empirical theta first-crossing localization passes on audited rows.
Prime_Mesh_R2Q_Theta_FirstCrossing_Conditional_Theorem_Final_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Theta_FirstCrossing_Conditional_Theorem_Final_v1.md,md,True,False,True,True,True,False,False,True,empirical_theta_localization_support,Empirical theta first-crossing localization passes on audited rows.
Prime_Mesh_R2Q_Theta_FirstCrossing_Final_Conditional_Assembly_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Theta_FirstCrossing_Final_Conditional_Assembly_v1.md,md,True,False,True,True,True,False,False,True,empirical_theta_localization_support,Empirical theta first-crossing localization passes on audited rows.
Prime_Mesh_R2Q_Theta_FirstCrossing_Final_Update_After_SignBridge_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_Theta_FirstCrossing_Final_Update_After_SignBridge_v1.md,md,True,False,True,True,True,False,False,True,empirical_theta_localization_support,Empirical theta first-crossing localization passes on audited rows.
prime_mesh_r2q_finite_certificate_exceptions.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_finite_certificate_exceptions.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_finite_certificate_manifest.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_finite_certificate_manifest.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_finite_certificate_rows.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_finite_certificate_rows.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_finite_certificate_summary.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_finite_certificate_summary.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_finite_certificate_theta_envelope.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_finite_certificate_theta_envelope.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_finite_theta_envelope_failures.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_finite_theta_envelope_failures.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_finite_theta_envelope_summary.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_finite_theta_envelope_summary.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_finite_theta_envelope_worst_rows.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_finite_theta_envelope_worst_rows.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_v1.md,md,False,False,True,False,True,False,False,True,finite_theta_certificate,Finite theta envelope certificate/support.
Prime_Mesh_R2Q_FiniteThetaEnvelope_Codex_Validation_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\Prime_Mesh_R2Q_FiniteThetaEnvelope_Codex_Validation_v1.md,md,False,False,True,False,True,False,False,True,finite_theta_certificate,Finite theta envelope certificate/support.
prime_mesh_r2q_firstcrossing_covering_localization_crossings.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_firstcrossing_covering_localization_crossings.csv,csv,True,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_firstcrossing_covering_localization_failures.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_firstcrossing_covering_localization_failures.csv,csv,True,False,False,False,False,False,False,False,candidate,Keyword candidate.
Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Stress_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Stress_Audit_v1.md,md,True,False,False,False,False,False,False,True,candidate,Keyword candidate.
prime_mesh_r2q_firstcrossing_covering_localization_summary.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_firstcrossing_covering_localization_summary.csv,csv,True,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_firstcrossing_covering_localization_windows.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_firstcrossing_covering_localization_windows.csv,csv,True,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_firstcrossing_threshold_relevance_by_status.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_firstcrossing_threshold_relevance_by_status.csv,csv,True,True,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_firstcrossing_threshold_relevance_failures.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_firstcrossing_threshold_relevance_failures.csv,csv,True,True,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_firstcrossing_threshold_relevance_rows.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_firstcrossing_threshold_relevance_rows.csv,csv,True,True,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_firstcrossing_threshold_relevance_summary.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_firstcrossing_threshold_relevance_summary.csv,csv,True,True,False,False,False,False,False,False,candidate,Keyword candidate.
Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,md,True,True,False,False,False,False,False,True,empirical_localization_support,Empirical threshold relevance passes; theorem-facing contrapositive is local.
prime_mesh_r2q_theta_comparison_audit_rows.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_theta_comparison_audit_rows.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_theta_comparison_audit_scopes.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_theta_comparison_audit_scopes.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_theta_comparison_audit_summary.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_theta_comparison_audit_summary.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_theta_first_crossing_crossings.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_theta_first_crossing_crossings.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_theta_first_crossing_intervals.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_theta_first_crossing_intervals.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_theta_first_crossing_summary.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_theta_first_crossing_summary.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_theta_first_crossing_worst_rows.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_theta_first_crossing_worst_rows.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
Prime_Mesh_R2Q_Theta_FirstCrossing_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\Prime_Mesh_R2Q_Theta_FirstCrossing_Audit_v1.md,md,True,False,True,False,False,False,False,False,empirical_theta_localization_support,Empirical theta first-crossing localization passes on audited rows.
prime_mesh_r2q_theta_positive_harmlessness_stability_scopes.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_theta_positive_harmlessness_stability_scopes.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_theta_positive_harmlessness_stability_summary.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_theta_positive_harmlessness_stability_summary.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_theta_positive_harmlessness_stability_worst_rows.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_theta_positive_harmlessness_stability_worst_rows.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_theta_positive_side_candidate_coordinates.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_theta_positive_side_candidate_coordinates.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_theta_positive_side_candidate_rows.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_theta_positive_side_candidate_rows.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_theta_positive_side_candidate_summary.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_theta_positive_side_candidate_summary.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
prime_mesh_r2q_theta_positive_side_candidate_transport.csv,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\scripts and results\prime_mesh_r2q_theta_positive_side_candidate_transport.csv,csv,False,False,False,False,False,False,False,False,candidate,Keyword candidate.
