block_id,p_star_proj,depth_bin,y,h,D_y,D_y_plus_h,observed_delta,denom_sqrt_h_logB,Q_max,is_tail,mu_bin,scale_bin,hi,p_star_fcl,theta_local_sign,near_forbidden_R2Q,forbidden_R2Q,finite_certificate_flag,covered_flag,B3_block_pass,positive_harmless_flag,negative_transfer_flag,O2_B3_repaid_flag,Q_R2Q,E_theta_local,x,post_P0,source_coordinate,side,p_star,right_endpoint,E_theta,E_theta_sign,post_P0_flag,finite_zone_flag,near_forbidden_flag,forbidden_flag,D_start,D_end,DeltaD,DeltaD_sign,Q_delta_D,bridge_excursion_raw,bridge_excursion_signed,bridge_excursion_argmax,bridge_path_n_samples,Q_exc,candidate_id,right_endpoint_hexc,C_minus_flag,O2_applicable_flag,B3_applicable_flag,coordinate_available_flag,endpoint_exclusion_flag,endpoint_exclusion_Q,endpoint_exclusion_harmful_flag,Q_formula_sum,formula_residual,abs_formula_residual,formula_residual_frac,primitive_available_flag,instrumentation_gap_flag,threshold_relevant_flag,pos_harm_antecedent,pos_harm_consequent,pos_harm_prim_violation,pos_harm_instrumentation_gap,neg_transfer_antecedent,neg_transfer_consequent,neg_transfer_prim_violation,sign_consistent,sign_inconsistent_flag,sign_inconsistent_positive_harmless,sign_inconsistent_threshold_relevant,sign_inconsistent_forbidden,formula_residual_cap_violation,threshold_relevant_missing_primitives,positive_missing_primitive_rows_flag,row_status
16,58309,0.60-0.65,58308,1,-142.77574764669592,-153.42590931604803,-10.650161669352116,120.41795978396352,0.0939517191622745,False,>=1.00,p<100M,58309,58309,positive,False,False,True,True,True,True,False,False,0.0939517191622745,9.973511734352114,58309,False,theta_local,positive,58309,58309,9.973511734352114,positive,False,True,False,False,-142.77574764669592,-153.42590931604803,-10.650161669352116,negative,0.0884432993920433,0.0,0.0,58308,2,0.0,hexc_00015,58309,False,True,True,True,False,0.0,False,0.0884432993920433,0.005508419770231199,0.005508419770231199,0.05863032437668322,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,sign_inconsistent_positive_harmless
17,59333,0.55-0.60,59332,1,-160.6996955654813,-171.36726642309412,-10.667570857612787,120.80034272712788,0.0929815072257821,False,0.50-1.00,p<100M,59333,59333,positive,False,False,True,True,True,True,False,False,0.0929815072257821,9.990920922612805,59333,False,theta_local,positive,59333,59333,9.990920922612805,positive,False,True,False,False,-160.6996955654813,-171.36726642309412,-10.667570857612787,negative,0.08830745523387652,2.842170943040401e-14,-2.842170943040401e-14,59333,2,2.3527838405727803e-16,hexc_00016,59333,False,True,True,True,False,0.0,False,0.08830745523387676,0.004674051991905348,0.004674051991905348,0.05026861933476291,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,sign_inconsistent_positive_harmless
18,3241093,0.55-0.60,3239129,1964,-1080.182066429391,-2475.688277714416,-1395.5062112850246,9959.931532590872,0.159654089699117,False,0.10-0.25,p<100M,3241093,3241093,negative,False,False,True,True,True,False,True,True,0.159654089699117,-165.06704136906455,3241093,False,theta_local,negative,3241093,3241093,-165.06704136906455,negative,False,True,False,False,-1080.182066429391,-2475.688277714416,-1395.5062112850246,negative,0.14011202855347463,81.42228980252094,-81.42228980252094,3240710,39,0.008174984891822905,hexc_00017,3241093,True,True,True,True,True,0.0,False,0.14828701344529754,0.01136707625381947,0.01136707625381947,0.07119815267646311,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,primitive_full_verified
19,1515197,0.55-0.60,1513853,1344,-753.3241327486062,-1758.088336176791,-1004.7642034281848,7424.614187859693,0.1510851987794436,False,0.10-0.25,p<100M,1515197,1515197,negative,False,False,True,True,True,False,True,True,0.1510851987794436,-63.24655312102391,1515197,False,theta_local,negative,1515197,1515197,-63.24655312102391,negative,False,True,False,False,-753.3241327486062,-1758.088336176791,-1004.7642034281848,negative,0.1353288100910507,76.78974942550394,-76.78974942550394,1514743,37,0.010342591208451771,hexc_00018,1515197,True,True,True,True,True,0.0,False,0.14567140129950246,0.00541379747994114,0.00541379747994114,0.035832745521580056,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,primitive_full_verified
20,58511,0.55-0.60,58510,1,-153.79246668300976,-164.44608666774153,-10.653619984731762,120.4938714727083,0.0923670994574258,False,0.50-1.00,p<100M,58511,58511,positive,False,False,True,True,True,True,False,False,0.0923670994574258,9.97697004973177,58511,False,theta_local,positive,58511,58511,9.97697004973177,positive,False,True,False,False,-153.79246668300976,-164.44608666774153,-10.653619984731762,negative,0.08841628088234174,0.0,0.0,58510,2,0.0,hexc_00019,58511,False,True,True,True,False,0.0,False,0.08841628088234174,0.0039508185750840585,0.0039508185750840585,0.0427730068205193,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,sign_inconsistent_positive_harmless
21,30847123,0.55-0.60,30831334,15789,-3291.774805658332,-15413.68237434975,-12121.907568691418,37366.399083278666,0.338124053326903,False,0.05-0.10,p<100M,30847123,30847123,negative,False,False,True,True,True,False,True,True,0.338124053326903,-424.33160930738086,30847123,False,theta_local,negative,30847123,30847123,-424.33160930738086,negative,False,True,False,False,-3291.774805658332,-15413.68237434975,-12121.907568691418,negative,0.3244066291128366,225.3338417937175,-225.3338417937175,30843312,40,0.006030386853480715,hexc_00020,30847123,True,True,True,True,True,0.0,False,0.3304370159663173,0.00768703736058568,0.00768703736058568,0.022734370077936297,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,primitive_full_verified
22,60209,0.55-0.60,60208,1,-135.82731565956084,-146.5095427163446,-10.682227056783772,121.1227277835306,0.0940510554686493,False,>=1.00,p<100M,60209,60209,positive,False,False,True,True,True,True,False,False,0.0940510554686493,10.005577121783782,60209,False,theta_local,positive,60209,60209,10.005577121783782,positive,False,True,False,False,-135.82731565956084,-146.5095427163446,-10.682227056783772,negative,0.08819341549073223,0.0,0.0,60208,2,0.0,hexc_00021,60209,False,True,True,True,False,0.0,False,0.08819341549073223,0.005857639977917065,0.005857639977917065,0.06228149114041185,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,sign_inconsistent_positive_harmless
23,354619,0.55-0.60,354550,3,-358.86430389081664,-383.77482436010666,-24.91052046929002,282.8399310693702,0.0920232096308952,False,0.50-1.00,p<100M,354553,354619,positive,False,False,True,True,True,True,False,False,0.0920232096308952,22.55722059933116,354553,False,theta_local,positive,354619,354553,22.55722059933116,positive,False,True,False,False,-358.86430389081664,-383.77482436010666,-24.91052046929002,negative,0.08807285582027803,4.1517562320296975,4.1517562320296975,354552,4,0.014678819275385217,hexc_00022,354553,False,True,True,True,False,0.0,False,0.10275167509566324,-0.010728465464768036,0.010728465464768036,0.11658434331729871,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,sign_inconsistent_positive_harmless
24,180619079,0.55-0.60,180557417,61662,-7832.904115998194,-55664.72449150575,-47831.82037550756,89755.2548180161,0.5459231094474968,False,0.018-0.05,100M<=p<500M,180619079,180619079,negative,False,False,True,True,True,False,True,True,0.5459231094474968,-1166.673386312199,180619079,False,theta_local,negative,180619079,180619079,-1166.673386312199,negative,False,True,False,False,-7832.904115998194,-55664.72449150575,-47831.82037550756,negative,0.5329138719787416,459.09706861431914,459.09706861431914,180574899,41,0.005114988192559474,hexc_00023,180619079,True,True,True,True,True,0.0,False,0.5380288601713011,0.007894249276195642,0.007894249276195642,0.014460368391777813,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,primitive_full_verified
25,109813367,0.55-0.60,109790208,23159,-6243.548424860049,-23926.429705648483,-17682.881280788435,52164.39294669296,0.3557665519303423,False,0.05-0.10,100M<=p<500M,109813367,109813367,negative,False,False,True,True,True,False,True,True,0.3557665519303423,-719.8064293124298,109813367,False,theta_local,negative,109813367,109813367,-719.8064293124298,negative,False,True,False,False,-6243.548424860049,-23926.429705648483,-17682.881280788435,negative,0.3389837450779626,238.2995725304463,-238.2995725304463,109799994,41,0.004568242033870992,hexc_00024,109813367,True,True,True,True,True,0.0,False,0.3435519871118336,0.012214564818508689,0.012214564818508689,0.034333089359396135,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,primitive_full_verified
26,230647,0.55-0.60,230560,3,-368.1857577200088,-392.2356077613473,-24.04985004133846,264.11869696278075,0.0944180902326222,False,0.25-0.50,p<100M,230563,230647,positive,False,False,True,True,True,True,False,False,0.0944180902326222,21.69655017143579,230563,False,theta_local,positive,230647,230563,21.69655017143579,positive,False,True,False,False,-368.1857577200088,-392.2356077613473,-24.04985004133846,negative,0.09105697672258141,4.00831267749993,4.00831267749993,230562,4,0.015176179208792539,hexc_00025,230563,False,True,True,True,False,0.0,False,0.10623315593137395,-0.01181506569875175,0.01181506569875175,0.12513561405068063,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,sign_inconsistent_positive_harmless
27,1192781,0.55-0.60,1192323,458,-623.3057979417131,-948.8325897505176,-325.52679180880466,4189.669828156048,0.0967472985369818,False,0.25-0.50,p<100M,1192781,1192781,negative,False,False,True,True,True,False,True,True,0.0967472985369818,-38.252494546276125,1192781,False,theta_local,negative,1192781,1192781,-38.252494546276125,negative,False,True,False,False,-623.3057979417131,-948.8325897505176,-325.52679180880466,negative,0.07769748098553032,50.44514412859007,-50.44514412859007,1192436,35,0.012040362653300515,hexc_00026,1192781,True,True,True,True,True,0.0,False,0.08973784363883083,0.0070094548981509686,0.0070094548981509686,0.07245116922279328,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,primitive_full_verified
28,109670797,0.55-0.60,109660803,9994,-6062.627144332166,-13303.443764865187,-7240.816620533022,34262.81003604829,0.2345732370876761,False,0.10-0.25,100M<=p<500M,109670797,109670797,negative,False,False,True,True,True,False,True,True,0.2345732370876761,-700.5003791113922,109670797,False,theta_local,negative,109670797,109670797,-700.5003791113922,negative,False,True,False,False,-6062.627144332166,-13303.443764865187,-7240.816620533022,negative,0.21133166289965347,335.81014783296996,-335.81014783296996,109668485,40,0.009801010117957643,hexc_00027,109670797,True,True,True,True,True,0.0,False,0.2211326730176111,0.013440564070064998,0.013440564070064998,0.057297943435215236,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,primitive_full_verified
29,3456977,0.55-0.60,3455716,1261,-1076.8098138024425,-2022.1132362822227,-945.3034224797802,8049.543999669534,0.1341559286414388,False,0.10-0.25,p<100M,3456977,3456977,negative,False,False,True,True,True,False,True,True,0.1341559286414388,-56.54292508843059,3456977,False,theta_local,negative,3456977,3456977,-56.54292508843059,negative,False,True,False,False,-1076.8098138024425,-2022.1132362822227,-945.3034224797802,negative,0.11743564884154789,62.47652506736517,-62.47652506736517,3456171,37,0.007761498672462699,hexc_00028,3456977,True,True,True,True,True,0.0,False,0.1251971475140106,0.008958781127428206,0.008958781127428206,0.06677886857592792,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,primitive_full_verified
30,4994789,0.55-0.60,4991760,3029,-1282.5533183929576,-3575.231370335033,-2292.6780519420754,13092.975670345444,0.1879865387221068,False,0.05-0.10,p<100M,4994789,4994789,negative,False,False,True,True,True,False,True,True,0.1879865387221068,-113.94054074237602,4994789,False,theta_local,negative,4994789,4994789,-113.94054074237602,negative,False,True,False,False,-1282.5533183929576,-3575.231370335033,-2292.6780519420754,negative,0.17510748585096741,74.79600740040587,-74.79600740040587,4992724,37,0.005712682073473406,hexc_00029,4994789,True,True,True,True,True,0.0,False,0.18082016792444083,0.007166370797665966,0.007166370797665966,0.03812172321689339,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,primitive_full_verified
31,7108243,0.55-0.60,7105465,2778,-1580.4968693296976,-3707.454245328314,-2126.957375998616,13119.040415432122,0.1766899326140388,False,0.10-0.25,p<100M,7108243,7108243,negative,False,False,True,True,True,False,True,True,0.1766899326140388,-80.20709910296955,7108243,False,theta_local,negative,7108243,7108243,-80.20709910296955,negative,False,True,False,False,-1580.4968693296976,-3707.454245328314,-2126.957375998616,negative,0.16212751151346744,89.51022293063807,-89.51022293063807,7107680,38,0.00682292455059029,hexc_00030,7108243,True,True,True,True,True,0.0,False,0.16895043606405774,0.007739496549981073,0.007739496549981073,0.04380270248270011,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,primitive_full_verified
32,3293113,0.55-0.60,3292080,1033,-1036.8409135045636,-1739.9792047404453,-703.1382912358818,7238.654174546005,0.1154116378424172,False,0.10-0.25,p<100M,3293113,3293113,negative,False,False,True,True,True,False,True,True,0.1154116378424172,-117.56184933337444,3293113,False,theta_local,negative,3293113,3293113,-117.56184933337444,negative,False,True,False,False,-1036.8409135045636,-1739.9792047404453,-703.1382912358818,negative,0.09713660499328679,44.40858594402789,-44.40858594402789,3292775,37,0.006134922994413269,hexc_00031,3293113,True,True,True,True,True,0.0,False,0.10327152798770006,0.01214010985471714,0.01214010985471714,0.10518965055580634,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,primitive_full_verified
33,1197697,0.55-0.60,1197615,4,-723.0462496968461,-750.2475287109113,-27.20127901406522,391.7710552695081,0.0726584885625681,False,0.25-0.50,p<100M,1197619,1197697,positive,False,False,True,True,True,True,False,False,0.0726584885625681,23.99169028406876,1197619,False,theta_local,positive,1197697,1197619,23.99169028406876,positive,False,True,False,False,-723.0462496968461,-750.2475287109113,-27.20127901406522,negative,0.06943156889258409,6.944030893516242,6.944030893516242,1197616,5,0.017724716515208832,hexc_00032,1197619,False,True,True,True,False,0.0,False,0.08715628540779292,-0.014497796845224828,0.014497796845224828,0.1995334217933862,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,sign_inconsistent_positive_harmless
34,127,0.50-0.55,126,1,-7.288219387840677,-11.809056409299268,-4.520837021458592,23.466148528612173,0.2157084836048593,False,0.50-1.00,p<100M,127,127,positive,False,False,True,True,True,True,False,False,0.2157084836048593,3.844187086458591,127,False,theta_local,positive,127,127,3.844187086458591,positive,False,True,False,False,-7.288219387840677,-11.809056409299268,-4.520837021458592,negative,0.19265355863346534,0.0,0.0,126,2,0.0,hexc_00033,127,False,True,True,True,False,0.0,False,0.19265355863346534,0.02305492497139397,0.02305492497139397,0.10688001040156868,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,sign_inconsistent_positive_harmless
35,354953,0.55-0.60,354952,1,-338.8765720674441,-351.3329626677706,-12.456390600326472,163.3217714729985,0.080127585396028,False,>=1.00,p<100M,354953,354953,positive,False,False,True,True,True,True,False,False,0.080127585396028,11.779740665326448,354953,False,theta_local,positive,354953,354953,11.779740665326448,positive,False,True,False,False,-338.8765720674441,-351.3329626677706,-12.456390600326472,negative,0.07626901476748829,0.0,0.0,354952,2,0.0,hexc_00034,354953,False,True,True,True,False,0.0,False,0.07626901476748829,0.003858570628539712,0.003858570628539712,0.048155333889931304,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,sign_inconsistent_positive_harmless
36,39707851,0.55-0.60,39704004,3847,-3590.415609090645,-6194.606063479505,-2604.19045438886,18988.52495688672,0.1623741874086595,False,0.10-0.25,p<100M,39707851,39707851,negative,False,False,True,True,True,False,True,True,0.1623741874086595,-452.5803398765943,39707851,False,theta_local,negative,39707851,39707851,-452.5803398765943,negative,False,True,False,False,-3590.415609090645,-6194.606063479505,-2604.19045438886,negative,0.13714548445978042,209.64678474559514,-209.64678474559514,39706404,39,0.011040709334800693,hexc_00035,39707851,True,True,True,True,True,0.0,False,0.14818619379458112,0.014187993614078381,0.014187993614078381,0.0873783810130509,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,primitive_full_verified
