statement_id,file_name,file_path,line,statement_type,statement_text_or_paraphrase,raw_or_oriented,upper_or_lower,v5_compatible,needs_repair
S0011,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,196,B3 lower-crossing accumulation statement,\text{B3-safe}.,raw_or_unspecified,both_or_unspecified,True,False
S0012,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,200,B3 lower-crossing accumulation statement,Thus there are no surviving unrepaid accumulation paths in the audited row-level B3 table.,raw_or_unspecified,both_or_unspecified,True,False
S0013,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,504,O2 lower-crossing safety statement,"\text{negative subthreshold rows}=145,",raw_or_unspecified,lower,True,False
S0014,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,508,O2 lower-crossing safety statement,"\text{post-}P_0\text{ negative subthreshold rows}=21,",raw_or_unspecified,lower,True,False
S0015,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,512,O2 lower-crossing safety statement,\text{surviving unrepaid negative subthreshold rows}=0.,raw_or_unspecified,lower,True,False
S0016,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,539,O2 lower-crossing safety statement,\text{O2-safe}.,raw_or_unspecified,both_or_unspecified,True,False
S0017,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,545,B3 lower-crossing accumulation statement,## 10. B3 NoAccumulation Closure,raw_or_unspecified,both_or_unspecified,True,False
S0018,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,547,B3 lower-crossing accumulation statement,B3 closes hidden tail accumulation.,raw_or_unspecified,both_or_unspecified,True,False
S0019,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,556,B3 lower-crossing accumulation statement,"\text{accumulation-risk rows}=142,",raw_or_unspecified,both_or_unspecified,True,False
S0020,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,560,B3 lower-crossing accumulation statement,"\text{surviving unrepaid accumulation rows}=0,",raw_or_unspecified,both_or_unspecified,True,False
S0021,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,575,B3 lower-crossing accumulation statement,\text{accumulation-risk},raw_or_unspecified,both_or_unspecified,True,False
S0022,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,577,B3 lower-crossing accumulation statement,\text{B3-safe}.,raw_or_unspecified,both_or_unspecified,True,False
S0023,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,647,finite-zone sign handling,## 12. Finite Certificates,raw_or_unspecified,both_or_unspecified,True,False
S0024,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,649,finite-zone sign handling,Finite certificates remain part of the proof/certificate stack.,raw_or_unspecified,both_or_unspecified,True,False
S0025,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,655,O2 lower-crossing safety statement,3. finite negative subthreshold rows;,raw_or_unspecified,lower,True,False
S0026,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,680,O2 lower-crossing safety statement,- finite-zone negative subthreshold rows:,raw_or_unspecified,lower,True,False
S0027,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,686,finite-zone sign handling,A separate finite certificate index should collect these.,raw_or_unspecified,both_or_unspecified,True,False
S0028,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,729,local direct threshold sign statement,6. Direct threshold sign:,raw_or_unspecified,both_or_unspecified,True,False
S0029,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,736,O2 lower-crossing safety statement,7. Negative subthreshold O2:,raw_or_unspecified,lower,True,False
S0030,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,740,O2 lower-crossing safety statement,\text{O2-safe}.,raw_or_unspecified,both_or_unspecified,True,False
S0031,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,745,B3 lower-crossing accumulation statement,\text{accumulation-risk},raw_or_unspecified,both_or_unspecified,True,False
S0032,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,747,B3 lower-crossing accumulation statement,\text{B3-safe}.,raw_or_unspecified,both_or_unspecified,True,False
S0033,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,755,O2 lower-crossing safety statement,"10. Therefore the local row-level obstruction system has no positive threshold, no surviving unrepaid negative subthreshold obstruction, no B3 tail accumulation, and no neutral leftover.",raw_or_unspecified,upper,True,False
S0034,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,755,B3 lower-crossing accumulation statement,"10. Therefore the local row-level obstruction system has no positive threshold, no surviving unrepaid negative subthreshold obstruction, no B3 tail accumulation, and no neutral leftover.",raw_or_unspecified,upper,True,False
S0035,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,783,local direct threshold sign statement,| Direct threshold sign | closed |,raw_or_unspecified,both_or_unspecified,True,False
S0036,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,786,B3 lower-crossing accumulation statement,| B3 no-accumulation | closed dedicated numeric row-level |,raw_or_unspecified,both_or_unspecified,True,False
S0037,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,811,finite-zone sign handling,- replace finite certificates with symbolic lemmas where possible;,raw_or_unspecified,both_or_unspecified,True,False
S0038,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,848,finite-zone sign handling,\text{all finite certificates replaced by symbolic proofs.},raw_or_unspecified,both_or_unspecified,True,False
S0039,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,889,finite-zone sign handling,"The final RH result remains conditional on the global bridge from this local obstruction stack to the classical RH criterion, and on acceptance/reproducibility of the finite certificate components.",raw_or_unspecified,both_or_unspecified,True,False
