block_id,y,h,p_star,E_theta,E_theta_sign,delta_D_raw,Q_delta_D_best,Q_exc_best,Q_R2Q,Q_R2Q_formula,formula_residual,sign_consistent,sign_inconsistent_flag,sign_inconsistent_positive_harmless,neg_transfer_antecedent,neg_transfer_prim_pass,neg_transfer_prim_violation,pos_harm_antecedent,pos_harm_prim_pass,pos_harm_prim_violation,pos_harm_instrumentation_gap,route_A_alpha,primitive_full_available,row_status,channel
11,210,1,211,4.351858133476067,positive,,,,0.1912764152417241,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
12,3278912,797,3279709,-166.86828088206357,negative,-466.2432979484343,0.07336887604837976,0.01140626154171027,0.1060058846880691,0.08477513759009003,0.021230747097979064,1.0,False,,False,1.0,False,False,,False,False,4.036982986039194,True,primitive_full_pass,negative_transferred_repaid
13,42898,1,42899,9.666603794621116,positive,,,,0.0968247715409328,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
14,1195386,205,1195669,18.90523282037472,positive,-181.7593802670372,0.06482204542037459,0.01271445729899623,0.0899443884131837,0.07753650271937082,0.012407885693812876,0.0,True,1.0,False,1.0,False,True,1.0,False,False,,True,sign_inconsistent_positive_harmless,positive_harmless
15,43132,1,43133,9.672043644375696,positive,,,,0.0943896668138165,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
16,58308,1,58309,9.973511734352114,positive,,,,0.0939517191622745,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
17,59332,1,59333,9.990920922612805,positive,,,,0.0929815072257821,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
18,3239129,1964,3241093,-165.06704136906455,negative,-1395.5062112850246,0.14011202855347463,0.008174984891822905,0.159654089699117,0.14828701344529754,0.01136707625381947,1.0,False,,False,1.0,False,False,,False,False,9.633321038001824,True,primitive_full_pass,negative_transferred_repaid
19,1513853,1344,1515197,-63.24655312102391,negative,-1004.7642034281848,0.1353288100910507,0.010342591208451771,0.1510851987794436,0.14567140129950246,0.00541379747994114,1.0,False,,False,1.0,False,False,,False,False,17.736133513662992,True,primitive_full_pass,negative_transferred_repaid
20,58510,1,58511,9.97697004973177,positive,,,,0.0923670994574258,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
21,30831334,15789,30847123,-424.33160930738086,negative,-12121.907568691418,0.3244066291128366,0.006030386853480715,0.338124053326903,0.3304370159663173,0.00768703736058568,1.0,False,,False,1.0,False,False,,False,False,29.775010956387614,True,primitive_full_pass,negative_transferred_repaid
22,60208,1,60209,10.005577121783782,positive,,,,0.0940510554686493,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
23,354550,3,354619,22.55722059933116,positive,,,,0.0920232096308952,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
24,180557417,61662,180619079,-1166.673386312199,negative,-47831.82037550756,0.5329138719787416,0.0051149881925594744,0.5459231094474968,0.5380288601713011,0.007894249276195642,1.0,False,,False,1.0,False,False,,False,False,41.99930192492762,True,primitive_full_pass,negative_transferred_repaid
25,109790208,23159,109813367,-719.8064293124298,negative,-17682.881280788435,0.3389837450779626,0.004568242033870992,0.3557665519303423,0.3435519871118336,0.012214564818508689,1.0,False,,False,1.0,False,False,,False,False,25.782412404834506,True,primitive_full_pass,negative_transferred_repaid
26,230560,3,230647,21.69655017143579,positive,,,,0.0944180902326222,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
27,1192323,458,1192781,-38.252494546276125,negative,-325.52679180880466,0.07769748098553032,0.012040362653300515,0.0967472985369818,0.08973784363883083,0.0070094548981509686,1.0,False,,False,1.0,False,False,,False,False,10.596413186743613,True,primitive_full_pass,negative_transferred_repaid
28,109660803,9994,109670797,-700.5003791113922,negative,-7240.816620533022,0.21133166289965347,0.009801010117957644,0.2345732370876761,0.2211326730176111,0.013440564070064998,1.0,False,,False,1.0,False,False,,False,False,11.473424571263386,True,primitive_full_pass,negative_transferred_repaid
29,3455716,1261,3456977,-56.54292508843059,negative,-945.3034224797802,0.11743564884154789,0.007761498672462699,0.1341559286414388,0.1251971475140106,0.008958781127428206,1.0,False,,False,1.0,False,False,,False,False,19.098659093544985,True,primitive_full_pass,negative_transferred_repaid
30,4991760,3029,4994789,-113.94054074237602,negative,-2292.6780519420754,0.17510748585096741,0.005712682073473406,0.1879865387221068,0.18082016792444083,0.007166370797665966,1.0,False,,False,1.0,False,False,,False,False,21.601645575880653,True,primitive_full_pass,negative_transferred_repaid
31,7105465,2778,7108243,-80.20709910296955,negative,-2126.957375998616,0.16212751151346744,0.00682292455059029,0.1766899326140388,0.16895043606405774,0.007739496549981073,1.0,False,,False,1.0,False,False,,False,False,28.90021448086174,True,primitive_full_pass,negative_transferred_repaid
32,3292080,1033,3293113,-117.56184933337444,negative,-703.1382912358818,0.09713660499328679,0.006134922994413269,0.1154116378424172,0.10327152798770006,0.01214010985471714,1.0,False,,False,1.0,False,False,,False,False,7.106258865409305,True,primitive_full_pass,negative_transferred_repaid
33,1197615,4,1197697,23.99169028406876,positive,,,,0.0726584885625681,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
34,126,1,127,3.844187086458591,positive,,,,0.2157084836048593,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
35,354952,1,354953,11.779740665326448,positive,,,,0.080127585396028,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
36,39704004,3847,39707851,-452.5803398765943,negative,-2604.19045438886,0.13714548445978042,0.011040709334800697,0.1623741874086595,0.14818619379458112,0.014187993614078381,1.0,False,,False,1.0,False,False,,False,False,6.812594446334645,True,primitive_full_pass,negative_transferred_repaid
37,1656,1,1657,6.412764017426562,positive,,,,0.1389495863976313,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
38,155920,1,156007,10.957104747706284,positive,,,,0.0868104441327406,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
39,39682692,7975,39690667,-364.0109776889212,negative,-5972.95270429004,0.21848170759405397,0.006900569535973662,0.2349256240499423,0.22538227713002762,0.00954334691991468,1.0,False,,False,1.0,False,False,,False,False,17.64370965729043,True,primitive_full_pass,negative_transferred_repaid
40,30409154,8327,30417481,-228.7179970545885,negative,-6388.011550910226,0.23578937810394623,0.008534850186440335,0.24963148266117,0.24432422829038658,0.005307254370783415,1.0,False,,False,1.0,False,False,,False,False,29.569261144391373,True,primitive_full_pass,negative_transferred_repaid
41,604520611,151650,604672261,-1617.0683062109456,negative,-118889.25056613778,0.7467076670478365,0.0014698183580815804,0.7568596623500748,0.7481774854059181,0.008682176944156739,1.0,False,,False,1.0,False,False,,False,False,74.52105133786054,True,primitive_full_pass,negative_transferred_repaid
42,7115469,1948,7117417,-117.76229972501552,negative,-1430.1054790106923,0.13015673297709843,0.007641518998895068,0.1460888226947264,0.1377982519759935,0.008290570718732904,1.0,False,,False,1.0,False,False,,False,False,13.630511154601953,True,primitive_full_pass,negative_transferred_repaid
43,12779528,1739,12781267,-151.7480364006467,negative,-1229.9006183879278,0.1101458902583867,0.005372566168616575,0.1300675391522673,0.11551845642700327,0.01454908272526402,1.0,False,,False,1.0,False,False,,False,False,9.570785124048403,True,primitive_full_pass,negative_transferred_repaid
44,109577354,10737,109588091,-629.3445955758762,negative,-7902.204580257003,0.22253016129984254,0.006636811923388666,0.2415685632788372,0.2291669732232312,0.012401590055605982,1.0,False,,False,1.0,False,False,,False,False,13.630484570257538,True,primitive_full_pass,negative_transferred_repaid
45,12833438,3339,12836777,-163.66723291570224,negative,-2489.441898656397,0.16080955459196564,0.006086423855685192,0.1752468754780604,0.16689597844765083,0.00835089703040956,1.0,False,,False,1.0,False,False,,False,False,16.575959969234344,True,primitive_full_pass,negative_transferred_repaid
46,618028,1,618029,12.3342906609052,positive,,,,0.0748436752518515,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
47,12805898,1515,12807413,-205.7621329185172,negative,-997.9957473512264,0.09573306765367764,0.006714545286013089,0.1184377830877646,0.10244761293969074,0.01599017014807387,1.0,False,,False,1.0,False,False,,False,False,6.000556531937327,True,primitive_full_pass,negative_transferred_repaid
48,3439819,811,3440807,46.90968440981942,positive,-691.6775565305757,0.1072136412049886,0.008909869588272725,0.1225172337511368,0.11612351079326132,0.006393722957875478,0.0,True,1.0,False,1.0,False,True,1.0,False,False,,True,sign_inconsistent_positive_harmless,positive_harmless
49,33888759,13400,33902159,-291.8733586694325,negative,-10356.155825807087,0.2975764937115444,0.0049814047227133606,0.3075518627750951,0.30255789843425773,0.004993964340837376,1.0,False,,False,1.0,False,False,,False,False,36.67109349304285,True,primitive_full_pass,negative_transferred_repaid
50,3457512,455,3457967,-93.6529697629686,negative,-267.71927672099514,0.05536606911282309,0.006278619086263076,0.0793601948576568,0.06164468819908617,0.017715506658570634,1.0,False,,False,1.0,False,False,,False,False,4.097482661024165,True,primitive_full_pass,negative_transferred_repaid
51,12840082,2091,12842173,-192.29332879440085,negative,-1468.9981860940732,0.11990574866534748,0.005005105175298497,0.1392439305539144,0.12491085384064597,0.01433307671326843,1.0,False,,False,1.0,False,False,,False,False,8.871423478795148,True,primitive_full_pass,negative_transferred_repaid
52,1512478,1,1512479,13.229260584493224,positive,,,,0.0713499660129912,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
53,356170,3,356243,22.56633807844032,positive,,,,0.0917954514179663,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
54,7110038,2259,7112297,-113.30394854654696,negative,-1681.6041273500573,0.14213410863272255,0.003062369762677568,0.1547550134720171,0.14519647839540012,0.00955853507661697,1.0,False,,False,1.0,False,False,,False,False,16.159396484143635,True,primitive_full_pass,negative_transferred_repaid
55,12894136,1581,12895717,-156.60587200935356,negative,-1099.6240179754095,0.1031699645978112,0.008255794795351922,0.1217247995908262,0.11142575939316313,0.010299040197663076,1.0,False,,False,1.0,False,False,,False,False,8.284417200652433,True,primitive_full_pass,negative_transferred_repaid
56,1511046,403,1511527,9.625130217388572,positive,-329.9465646577695,0.08118295535426816,0.007718928919738007,0.0952884508457212,0.08890188427400617,0.006386566571715033,0.0,True,1.0,False,1.0,False,True,1.0,False,False,,True,sign_inconsistent_positive_harmless,positive_harmless
57,179616870,3983,179620853,-637.8829200418768,negative,-2527.025590101053,0.11084258327778278,0.008146855578006791,0.1434186712486546,0.11898943885578957,0.024429232392865027,1.0,False,,False,1.0,False,False,,False,False,5.125871585227779,True,primitive_full_pass,negative_transferred_repaid
58,1188358,3,1188511,24.97616952660599,positive,,,,0.0833294497303515,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
59,292,1,293,4.680172609017068,positive,,,,0.1707575979731007,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
60,3290975,8,3291137,37.02008815604045,positive,-43.37603271443948,0.06809761570439705,0.020567236449224698,0.0730965487832678,0.08866485215362176,-0.015568303370353961,0.0,True,1.0,False,1.0,False,True,1.0,False,False,,True,sign_inconsistent_positive_harmless,positive_harmless
61,1190068,3,1190143,24.97904537377347,positive,,,,0.0832943901091022,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
62,113154493,11734,113166227,-570.3217879884924,negative,-8753.869097322327,0.23499191293373353,0.0041822745120619845,0.2503069484559692,0.23917418744579552,0.011132761010173658,1.0,False,,False,1.0,False,False,,False,False,16.349334290911738,True,primitive_full_pass,negative_transferred_repaid
63,30813688,2319,30816007,-215.2921471839013,negative,-1627.3307655551475,0.11365076420007666,0.007544670920713243,0.1321516982536188,0.12119543512078991,0.010956263132828895,1.0,False,,False,1.0,False,False,,False,False,8.789173429907551,True,primitive_full_pass,negative_transferred_repaid
64,604757400,53021,604810421,-1034.3984432700745,negative,-41097.65520487146,0.436528398028676,0.0016779826148503646,0.4494568065190746,0.43820638064352635,0.011250425875548253,1.0,False,,False,1.0,False,False,,False,False,40.90766078422372,True,primitive_full_pass,negative_transferred_repaid
65,3438886,3,3439001,27.10131744255433,positive,,,,0.0792717980142518,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
66,1196076,1,1196077,12.994557592691232,positive,,,,0.0711424243631883,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
67,39695992,3205,39699197,-265.53724747196566,negative,-2280.972504373403,0.13160934175119632,0.008525354448881566,0.1495716452263878,0.14013469620007787,0.009436949026309926,1.0,False,,False,1.0,False,False,,False,False,9.762412510868264,True,primitive_full_pass,negative_transferred_repaid
68,1192068,1,1192069,12.991201010838148,positive,,,,0.0712244136304279,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
69,108578163,3824,108581987,-400.9453068567673,negative,-2637.631696644796,0.12458626279728342,0.004380482434432582,0.1469597990717331,0.128966745231716,0.017993053840017093,1.0,False,,False,1.0,False,False,,False,False,7.7599229623346195,True,primitive_full_pass,negative_transferred_repaid
70,12847029,892,12847921,-139.04176855224262,negative,-569.6987517866241,0.07119260047589483,0.007782984081841726,0.0908608054490663,0.07897558455773655,0.011885220891329748,1.0,False,,False,1.0,False,False,,False,False,5.229277756197184,True,primitive_full_pass,negative_transferred_repaid
71,1191480,1,1191481,12.990707629107597,positive,,,,0.0710316103925829,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
72,12843190,457,12843647,-113.26485440576494,negative,-249.96047798659333,0.04364182645884409,0.00816324192420648,0.0679786634633438,0.05180506838305057,0.01617359508029323,1.0,False,,False,1.0,False,False,,False,False,3.4375251083395018,True,primitive_full_pass,negative_transferred_repaid
73,40877269,4900,40882169,-220.51959869872007,negative,-3673.138631205552,0.17082975855642116,0.006972963012115601,0.1837301433813745,0.17780272156853677,0.00592742181283773,1.0,False,,False,1.0,False,False,,False,False,17.914595773449502,True,primitive_full_pass,negative_transferred_repaid
74,1186290,1,1186291,12.986342191006576,positive,,,,0.0716803042452162,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
75,113182659,12848,113195507,-330.4150379443963,negative,-9888.473703891712,0.2536736118314834,0.005296392295606907,0.2647255241959858,0.2589700041270903,0.005755520068895459,1.0,False,,False,1.0,False,False,,False,False,31.23129428486681,True,primitive_full_pass,negative_transferred_repaid
76,2878,1,2879,6.965198290612176,positive,,,,0.1282261417306278,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
77,39673239,1178,39674417,-198.21267981504025,negative,-737.8526257071599,0.07022773512529909,0.0048863359951688045,0.0933658727593846,0.07511407112046789,0.01825180163891671,1.0,False,,False,1.0,False,False,,False,False,4.949002722029345,True,primitive_full_pass,negative_transferred_repaid
78,3441229,568,3441797,-56.25170384278789,negative,-395.00311291379376,0.07315879400290866,0.005433735996818713,0.0865309897820664,0.07859252999972738,0.007938459782339022,1.0,False,,False,1.0,False,False,,False,False,8.305580087795617,True,primitive_full_pass,negative_transferred_repaid
79,109535495,10586,109546081,-330.4584709322444,negative,-8081.547700812343,0.2292074218688508,0.004328946441507769,0.2408302537232801,0.23353636831035857,0.00729388541292153,1.0,False,,False,1.0,False,False,,False,False,25.695674289855262,True,primitive_full_pass,negative_transferred_repaid
80,1198510,3,1198607,24.993182690643494,positive,,,,0.0831464357639209,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
81,1512196,1,1512197,13.22907411823977,positive,,,,0.0705955645536329,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
82,12782006,494,12782599,-68.54730774172731,negative,-323.79453525219947,0.05440622301948226,0.010868453870075753,0.0796044258439215,0.06527467688955801,0.01432974895436348,1.0,False,,False,1.0,False,False,,False,False,6.911427386022998,True,primitive_full_pass,negative_transferred_repaid
83,42922,1,42923,9.66716309178561,positive,,,,0.0952612074725035,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
84,617578,1,617579,12.33356227452393,positive,,,,0.0752538383487422,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
85,10356,1,10357,8.24541789858888,positive,,,,0.1086725867349362,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
86,15858,1,15859,8.6714924414986,positive,,,,0.1069835705399953,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
87,109460158,7231,109467389,-178.26963014023477,negative,-5567.723402559313,0.19107869635213975,0.007432440791926821,0.2045445847739718,0.19851113714406657,0.006033447629905236,1.0,False,,False,1.0,False,False,,False,False,33.43305056113171,True,primitive_full_pass,negative_transferred_repaid
88,3290318,323,3290641,-37.87575835699317,negative,-218.61666116771448,0.054015424276215446,0.007848002333847626,0.0705553720204413,0.06186342661006307,0.008691945410378238,1.0,False,,False,1.0,False,False,,False,False,7.539355371948873,True,primitive_full_pass,negative_transferred_repaid
89,1188148,1,1188149,12.987907191915609,positive,,,,0.0739495641263946,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
90,179630689,10782,179641471,-461.50121601656247,negative,-8106.104690189923,0.21610233095748083,0.005830579629681183,0.2296201708973325,0.221932910587162,0.007687260310170502,1.0,False,,False,1.0,False,False,,False,False,18.663364719390323,True,primitive_full_pass,negative_transferred_repaid
91,179595316,7407,179602723,-450.7172966904154,negative,-5434.931495367947,0.17481539152050019,0.005513836821393804,0.1917202756433797,0.180329228341894,0.011391047301485713,1.0,False,,False,1.0,False,False,,False,False,13.224468518288214,True,primitive_full_pass,negative_transferred_repaid
92,3453942,1,3453943,14.055027034946916,positive,,,,0.0687276505309807,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
93,1188838,1,1188839,12.988487758598636,positive,,,,0.0717695715648134,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
94,618118,1,618119,12.334436274537484,positive,,,,0.0765541684740735,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
95,178005997,5344,178011341,-366.6962581891348,negative,-3879.7407328734553,0.14705611014008735,0.006907069951191832,0.1648839859416764,0.15396318009127918,0.010920805850397203,1.0,False,,False,1.0,False,False,,False,False,11.862920764662437,True,primitive_full_pass,negative_transferred_repaid
96,3438262,375,3438637,-28.83790962671685,negative,-268.9157561582316,0.06130470561386328,0.009160975209349567,0.0753076301542394,0.07046568082321285,0.0048419493310265516,1.0,False,,False,1.0,False,False,,False,False,11.455067224119755,True,primitive_full_pass,negative_transferred_repaid
97,30980149,1090,30981239,-175.80966234322875,negative,-690.2088476648541,0.07026593794595397,0.0038095629268263586,0.0903727573504991,0.07407550087278032,0.016297256477718777,1.0,False,,False,1.0,False,False,,False,False,5.0492917795300425,True,primitive_full_pass,negative_transferred_repaid
98,33842396,795,33843191,-188.19672853522707,negative,-443.2519099326764,0.05230060453477185,0.004261589416467068,0.0761893412087709,0.05656219395123892,0.01962714725753198,1.0,False,,False,1.0,False,False,,False,False,3.4310421661699966,True,primitive_full_pass,negative_transferred_repaid
99,4990677,357,4991101,-17.691366021948568,negative,-266.2477494151465,0.05923858965846139,0.007129928605419145,0.076175182058325,0.06636851826388053,0.009806663794444476,1.0,False,,False,1.0,False,False,,False,False,19.35233476511364,True,primitive_full_pass,negative_transferred_repaid
100,6420,1,6421,7.767329147794049,positive,,,,0.1159896775054861,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
101,1510642,1,1510643,13.228045945966745,positive,,,,0.070535407834942,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
102,33476547,1246,33477793,-154.43846648475437,negative,-835.5915545465327,0.07885308785741538,0.005961647356202371,0.096662723146914,0.08481473521361775,0.01184798793329625,1.0,False,,False,1.0,False,False,,False,False,6.632524794783554,True,primitive_full_pass,negative_transferred_repaid
103,33823778,1001,33824779,-12.808745615198404,negative,-782.6896931372066,0.08230751647664125,0.005970385104425438,0.0986530057695944,0.08827790158106669,0.010375104188527717,1.0,False,,False,1.0,False,False,,False,False,73.24092803548396,True,primitive_full_pass,negative_transferred_repaid
104,30357034,1285,30358319,-165.14358633355937,negative,-855.725877447961,0.08042370497303525,0.0035506716837985825,0.097634505621578,0.08397437665683383,0.013660128964744167,1.0,False,,False,1.0,False,False,,False,False,6.29060200240948,True,primitive_full_pass,negative_transferred_repaid
105,604410439,22162,604432601,-688.5913402072983,negative,-16921.907040198,0.27802963361184646,0.004811252954078799,0.2914811871626422,0.28284088656592526,0.008640300596716943,1.0,False,,False,1.0,False,False,,False,False,25.7636381319025,True,primitive_full_pass,negative_transferred_repaid
106,478,1,479,5.171700597410915,positive,,,,0.1648068982246287,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
107,231700,1,231701,11.35320302633692,positive,,,,0.0810551545684911,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
108,39633125,1622,39634747,-169.89877765908955,negative,-1118.8124807367185,0.09075973584359716,0.005609665388898256,0.1078488246263689,0.09636940123249542,0.011479423393873478,1.0,False,,False,1.0,False,False,,False,False,7.825088198135342,True,primitive_full_pass,negative_transferred_repaid
109,33491912,935,33492847,-137.96589757999288,negative,-604.6244752512366,0.06586293274336268,0.004330913191046569,0.0863386781827271,0.07019384593440925,0.01614483224831785,1.0,False,,False,1.0,False,False,,False,False,5.744844835194128,True,primitive_full_pass,negative_transferred_repaid
110,39654336,985,39655321,-127.70959529037896,negative,-655.0241926712538,0.06818279601955107,0.010389185131323364,0.0882379519127139,0.07857198115087444,0.009665970761839462,1.0,False,,False,1.0,False,False,,False,False,6.637651159102775,True,primitive_full_pass,negative_transferred_repaid
111,30777698,2313,30780011,-140.46546636399898,negative,-1697.337130708749,0.11870966256289346,0.0072627341203376486,0.1309387070981607,0.1259723966832311,0.004966310414929592,1.0,False,,False,1.0,False,False,,False,False,13.328476920584539,True,primitive_full_pass,negative_transferred_repaid
112,3459076,1,3459077,14.056512348440547,positive,,,,0.067178289113327,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
113,30783029,1220,30784249,-133.72293008495535,negative,-835.7371197162352,0.08048012016634527,0.008350481782962245,0.0966458075650577,0.08883060194930752,0.007815205615750179,1.0,False,,False,1.0,False,False,,False,False,7.505129858580638,True,primitive_full_pass,negative_transferred_repaid
114,359416,3,359477,22.58448267109209,positive,,,,0.0897827713986883,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
115,3453550,1,3453551,14.054913535029169,positive,,,,0.0680235969848095,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
116,12829371,898,12830269,-46.90137454561159,negative,-666.5577464566404,0.08303182557811953,0.004498162477209614,0.0962426881171498,0.08752998805532915,0.00871270006182065,1.0,False,,False,1.0,False,False,,False,False,16.473101224927117,True,primitive_full_pass,negative_transferred_repaid
117,17991472,705,17992327,-3.3720180676377822,negative,-556.6135410993293,0.07511774498625995,0.004346886882147871,0.0927710098591296,0.07946463186840783,0.013306377990721777,1.0,False,,False,1.0,False,False,,False,False,203.86074951980112,True,primitive_full_pass,negative_transferred_repaid
118,179648340,1841,179650181,-377.4982097341908,negative,-1085.0677523256454,0.0700042897116968,0.0047737129410581275,0.0958698914280892,0.07477800265275493,0.021091888775334272,1.0,False,,False,1.0,False,False,,False,False,3.9364028936490745,True,primitive_full_pass,negative_transferred_repaid
119,1513270,1,1513271,13.2297840910738,positive,,,,0.0705260023814927,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
120,108557409,3872,108561281,-263.9525918434665,negative,-2812.800304471888,0.1320368412344233,0.005189136489014856,0.1470745643860575,0.13722597772343817,0.00984858666261934,1.0,False,,False,1.0,False,False,,False,False,11.870128332433826,True,primitive_full_pass,negative_transferred_repaid
121,108840439,1642,108842081,-217.0841446013817,negative,-1087.6344517544494,0.07837887439402169,0.008238725408724648,0.0996639793175021,0.08661759980274635,0.013046379514755749,1.0,False,,False,1.0,False,False,,False,False,6.370801187558614,True,primitive_full_pass,negative_transferred_repaid
122,30418642,1,30418643,16.230566234990423,positive,,,,0.0587452641225273,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
123,3277216,1,3277217,14.0025051445914,positive,,,,0.0681011679331808,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
124,30340827,4,30340987,30.456009776270783,positive,,,,0.0597199396392292,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
125,33826320,1541,33827861,-102.04793904212896,negative,-1122.15241752471,0.09510708847027186,0.0057695318036443755,0.110098889929409,0.10087662027391624,0.009222269655492762,1.0,False,,False,1.0,False,False,,False,False,12.72968522668343,True,primitive_full_pass,negative_transferred_repaid
126,40847382,1,40847383,16.525353313570633,positive,,,,0.057385037625347,,,,False,,False,,False,False,,False,True,,False,instrumentation_gap,positive_harmless
