statement_id,file_name,file_path,line,statement_type,statement_text_or_paraphrase,coverage_mode,v5_compatible,needs_repair
S0016,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,190,upper/lower sign preservation,"\text{upper}\Rightarrow E_\theta>0,",theta_window,True,False
S0017,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,194,upper/lower sign preservation,\text{lower}\Rightarrow E_\theta<0.,theta_window,True,False
S0018,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,209,continuous vs discrete statement,J\text{ is covered by the theta-window / finite-continuous covering stack}.,theta_window,True,False
S0019,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,231,continuous vs discrete statement,with finite-zone continuous certificate support.,finite_certificate,True,False
S0020,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,237,continuous vs discrete statement,\text{all possible post-}P_0\text{ continuous global first crossings},unclear,True,False
S0021,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,255,continuous vs discrete statement,### Endpoint sign,endpoint_or_window,True,False
S0022,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,267,continuous vs discrete statement,Conditional for continuous all-\(x\) row selection.,unclear,True,False
S0023,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,283,continuous vs discrete statement,"\text{Assuming post-}P_0\text{ continuous window-selection and threshold relevance, v5 local closure implies the RH-scale bound.}",endpoint_or_window,True,False
S0024,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,291,continuous vs discrete statement,This closure does not claim a fully symbolic continuous covering theorem.,unclear,True,False
S0025,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,295,sample-grid caveat,It does not claim H-Exc full-grid control.,unclear,True,False
S0026,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,305,continuous vs discrete statement,"\text{audited candidate coverage passes completely, while continuous all-}x\text{ selection remains conditional.}",unclear,True,False
S0027,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,315,continuous vs discrete statement,"> The CoveringLocalization audit closes the audited candidate universe: 1469/1469 candidates are covered, with zero uncovered candidates and zero coverage failures. The coverage mode is theta-window covering with finite continuous certificate support. The remaining analytic condition is the post-\(P_0\) continuous all-\(x\) / window-selection theorem.",theta_window,True,False
S0028,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,319,continuous vs discrete statement,> Continuous global covering is fully proven.,unclear,True,False
S0029,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,336,continuous vs discrete statement,2. Conditional continuous window selection maps that first crossing into the audited theta-window candidate universe.,theta_window,True,False
S0030,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,336,endpoint/window selection rule,2. Conditional continuous window selection maps that first crossing into the audited theta-window candidate universe.,theta_window,True,False
S0031,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,341,continuous vs discrete statement,4. Endpoint sign splits:,endpoint_or_window,True,False
S0032,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,342,upper/lower sign preservation,- upper: \(E_\theta>0\);,theta_window,True,False
S0033,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,343,upper/lower sign preservation,- lower: \(E_\theta<0\).,theta_window,True,False
S0034,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,361,continuous vs discrete statement,### A. Post-\(P_0\) continuous all-\(x\) window-selection theorem,endpoint_or_window,True,False
S0035,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,400,continuous vs discrete statement,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,endpoint_or_window,True,False
S0036,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,400,endpoint/window selection rule,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,endpoint_or_window,True,False
S0037,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,407,continuous vs discrete statement,\text{attack the remaining post-}P_0\text{ continuous all-}x\text{ / window-selection theorem.},endpoint_or_window,True,False
S0038,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,434,continuous vs discrete statement,It remains conditional as a continuous all-\(x\) theorem.,unclear,True,False
S0039,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,436,continuous vs discrete statement,The global RH bridge remains conditional until continuous window-selection and threshold relevance are proven or accepted as formal assumptions.,endpoint_or_window,True,False
S0040,Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,16,continuous vs discrete statement,- Classification: `missing_endpoint_sign_orientation`.,endpoint_or_window,True,False
S0041,Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,26,coverage theorem,| Theta/R2Q Covering | `conditional` | Covering Localization Conditional Theorem gives this as Input/conditional theorem with empirical support. |,theta_window,True,False
S0042,Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,28,continuous vs discrete statement,| Endpoint Sign Orientation | `conditional_incomplete` | Theta conditional assembly states positive crossing gives E_theta>0 and negative gives E_theta<0; target needs unified E_theta>=0 for RH-scale crossing. |,theta_window,True,False
S0043,Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,30,finite-zone rule,| Finite-Zone Coverage | `conditional` | FiniteThetaEnvelope and finite certificate files exist; final index/reproducibility still noted. |,theta_window,True,False
S0044,Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,35,continuous vs discrete statement,| file | status | covering | threshold | endpoint sign | lower crossing | finite | direct sign |,finite_certificate,True,False
S0045,Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,42,row family definition,| `Prime_Mesh_R2Q_FullFCL_Closure_Update_v1.md` | `conditional_support` | True | False | True | False | True | False |,unclear,True,False
S0046,Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,43,row family definition,| `Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md` | `proof_target` | True | True | True | False | False | False |,unclear,True,False
S0047,Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,44,row family definition,| `Prime_Mesh_R2Q_FullFCL_Formal_Theorem_Target_v1.md` | `candidate` | True | True | True | False | True | False |,unclear,True,False
S0048,Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,45,row family definition,| `Prime_Mesh_R2Q_FullFCL_Reclosure_Update_v2.md` | `conditional_support` | True | True | True | False | False | False |,unclear,True,False
S0049,Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,61,failed delta route,The bridge must use direct threshold sign and must not rely on `Q_R2Q>0.75 => Q_delta_D>0.75`.,unclear,False,True
S0050,Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,71,continuous vs discrete statement,"| Endpoint sign orientation | `open` | Need theorem that selected first-crossing row has E_theta>=0 in the target orientation, or split upper/lower signs. | `Prime_Mesh_R2Q_FirstCrossing_EndpointSign_Proof_Attack_v1.md` |",theta_window,True,False
S0051,Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,78,continuous vs discrete statement,`Prime_Mesh_R2Q_FirstCrossing_EndpointSign_Proof_Attack_v1.md`.,endpoint_or_window,True,False
S0052,Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_FirstCrossing_Localization_Audit_v1.md,91,row family definition,prime_mesh_r2q_firstcrossing_localization_fullfcl_review.csv,unclear,True,False
S0053,Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,33,continuous vs discrete statement,The endpoint sign layer must also use the new upper/lower split:,endpoint_or_window,True,False
S0054,Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,37,upper/lower sign preservation,\text{upper crossings: }E_\theta>0\text{ and subthreshold},theta_window,True,False
S0055,Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,43,upper/lower sign preservation,\text{lower crossings: }E_\theta<0\text{ and O2/B3/finite safe}.,theta_window,True,False
S0056,Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,62,continuous vs discrete statement,\texttt{missing\_endpoint\_sign\_orientation}.,endpoint_or_window,True,False
S0057,Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,65,continuous vs discrete statement,Then the EndpointSign audit resolved that sign gap as:,endpoint_or_window,True,False
S0058,Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,73,coverage theorem,1. covering localization support exists;,unclear,True,False
S0059,Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,75,continuous vs discrete statement,3. endpoint sign orientation is now resolved by upper/lower split;,endpoint_or_window,True,False
S0060,Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,148,continuous vs discrete statement,The EndpointMotion audit found a counterexample to this intermediate implication:,endpoint_or_window,True,False
S0061,Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md,172,row family definition,All GlobalBridge / FullFCL / FirstCrossing files should be updated to use direct sign:,unclear,True,False
