statement_id,file_name,file_path,line,statement_type,statement_text_or_paraphrase,continuous_or_discrete,v5_compatible,needs_repair
S0011,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,336,candidate window selection rule,2. Conditional continuous window selection maps that first crossing into the audited theta-window candidate universe.,continuous,True,False
S0012,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,339,gap-free coverage claim,1469/1469.,unspecified,True,False
S0013,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,361,continuous all-x claim,### A. Post-\(P_0\) continuous all-\(x\) window-selection theorem,continuous,True,False
S0014,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,379,global error process definition,"Confirm the chosen \(G(x)\), envelope \(\mathcal E(x)\), and R2Q normalization imply:",unspecified,True,False
S0015,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,382,global error process definition,\psi(x)-x=O(\sqrt{x}\log^2x),unspecified,True,False
S0016,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,388,global error process definition,\pi(x)-\operatorname{Li}(x)=O(\sqrt{x}\log x).,unspecified,True,False
S0017,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md,434,continuous all-x claim,It remains conditional as a continuous all-\(x\) theorem.,continuous,True,False
S0018,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,19,candidate window selection rule,\text{GlobalBridge closed conditionally on post-}P_0\text{ continuous all-}x\text{ / FullFCL candidate selection.},continuous,True,False
S0019,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,47,candidate window selection rule,"\text{assuming every post-}P_0\text{ continuous global first crossing enters the audited FullFCL/theta candidate universe, no surviving first-crossing obstruction remains.}",continuous,True,False
S0020,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,297,global error process definition,G(x)=\psi(x)-x,unspecified,True,False
S0021,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,301,global error process definition,G(x)=\pi(x)-\operatorname{Li}(x);,unspecified,True,False
S0022,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,306,continuous all-x claim,3. post-\(P_0\) continuous all-\(x\) / FullFCL candidate selection holds:,continuous,True,False
S0023,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,306,candidate window selection rule,3. post-\(P_0\) continuous all-\(x\) / FullFCL candidate selection holds:,continuous,True,False
S0024,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,333,candidate window selection rule,for some audited FullFCL/theta candidate row \(J_0\).,unspecified,True,False
S0025,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,409,continuous all-x claim,"Hence the selected RH-scale envelope holds, conditionally on the continuous all-\(x\) / FullFCL candidate-selection theorem.",continuous,True,False
S0026,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,419,global error process definition,\psi(x)-x=O(\sqrt{x}\log^2x),unspecified,True,False
S0027,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,427,global error process definition,\pi(x)-\operatorname{Li}(x)=O(\sqrt{x}\log x).,unspecified,True,False
S0028,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,443,sampled-grid caveat,| H-Exc | closed sampled-grid/certificate |,unspecified,True,False
S0029,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,450,gap-free coverage claim,| Covering candidate universe | 1469/1469 covered |,unspecified,True,False
S0030,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,471,candidate window selection rule,\text{ enters the audited FullFCL/theta candidate universe}.,unspecified,True,False
S0031,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,480,gap-free coverage claim,1469/1469,unspecified,True,False
S0032,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,485,continuous all-x claim,But it does not yet prove that the candidate universe captures every possible continuous all-\(x\) first crossing.,continuous,True,False
S0033,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,511,sampled-grid caveat,1. H-Exc sampled-grid caveat;,unspecified,True,False
S0034,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,524,continuous all-x claim,"> Conditional on the post-\(P_0\) continuous all-\(x\) / FullFCL candidate-selection theorem, the v5 GlobalBridge has no surviving first-crossing obstruction. Covering passes for 1469/1469 audited candidates, ThresholdRelevance has 0 failures across 10,140 rows, upper crossings are subthreshold, lower crossings are O2/B3/finite safe, and neutral rows are emp",continuous,True,False
S0035,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,524,gap-free coverage claim,"> Conditional on the post-\(P_0\) continuous all-\(x\) / FullFCL candidate-selection theorem, the v5 GlobalBridge has no surviving first-crossing obstruction. Covering passes for 1469/1469 audited candidates, ThresholdRelevance has 0 failures across 10,140 rows, upper crossings are subthreshold, lower crossings are O2/B3/finite safe, and neutral rows are emp",continuous,True,False
S0036,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,532,continuous all-x claim,> Continuous all-\(x\) covering is proven.,continuous,True,False
S0037,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,560,candidate window selection rule,\text{attack the theorem that every post-}P_0\text{ continuous all-}x\text{ first crossing enters the audited FullFCL/theta candidate universe.},continuous,True,False
S0038,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,576,continuous all-x claim,The only major remaining analytic gap is continuous all-\(x\) / FullFCL candidate selection after \(P_0\).,continuous,True,False
S0039,Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_GlobalBridge_ConditionalAssembly_Closure_Update_v1.md,576,candidate window selection rule,The only major remaining analytic gap is continuous all-\(x\) / FullFCL candidate selection after \(P_0\).,continuous,True,False
S0040,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Audit_v1.md,44,candidate window selection rule,"The files discuss endpoint-controlled and interior/window selection, but the audit keeps this as conditional proof material rather than a completed continuous lifting theorem.",continuous,True,False
S0041,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Audit_v1.md,54,sampled-grid caveat,- Uses full-grid H-Exc upgrade: `False`.,unspecified,True,False
S0042,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Audit_v1.md,65,continuous all-x claim,"| post-P0 continuous all-x covering | `conditional_not_fully_proven` | Audited first-crossing candidates are covered, but the universal all-x window-selection theorem remains an input/target. | `Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Conditional_Closure_Update_v1.md` |",continuous,True,False
S0043,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Audit_v1.md,67,continuous all-x claim,| finite-zone coverage | `continuous_certificate_passes` | Finite theta envelope summary reports continuous all-x finite certificate with zero failures. | `Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md` |,continuous,True,False
S0044,Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_CoveringLocalization_Audit_v1.md,68,sampled-grid caveat,| sampled-grid H-Exc upgrade | `not_used` | Audit does not find proof evidence upgrading sampled-grid H-Exc to full-grid control. | `Prime_Mesh_R2Q_CoveringLocalization_SampledGrid_Warning_Repair_Map_v1.md` |,unspecified,True,False
S0045,Prime_Mesh_R2Q_FirstCrossing_UpperLowerSplit_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_UpperLowerSplit_Closure_Update_v1.md,377,theta-window continuity claim,Let \(J\) be an admissible first-crossing row with raw endpoint sign \(E_\theta(J)\) and crossing orientation \(\texttt{local\_theta\_sign}\).,discrete_or_window,True,False
S0046,Prime_Mesh_R2Q_FirstCrossing_UpperLowerSplit_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_UpperLowerSplit_Closure_Update_v1.md,384,theta-window continuity claim,E_\theta(J)>0.,unspecified,True,False
S0047,Prime_Mesh_R2Q_FirstCrossing_UpperLowerSplit_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_UpperLowerSplit_Closure_Update_v1.md,398,theta-window continuity claim,E_\theta(J)<0.,unspecified,True,False
S0048,Prime_Mesh_R2Q_FirstCrossing_UpperLowerSplit_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_UpperLowerSplit_Closure_Update_v1.md,459,sampled-grid caveat,7. preserves the sampled-grid H-Exc caveat;,unspecified,True,False
S0049,Prime_Mesh_R2Q_FirstCrossing_UpperLowerSplit_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_UpperLowerSplit_Closure_Update_v1.md,503,global error process definition,\psi(x)-x=O(\sqrt{x}\log^2x),unspecified,True,False
S0050,Prime_Mesh_R2Q_FirstCrossing_UpperLowerSplit_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_FirstCrossing_UpperLowerSplit_Closure_Update_v1.md,507,global error process definition,\pi(x)-\operatorname{Li}(x)=O(\sqrt{x}\log x).,unspecified,True,False
S0051,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,236,sampled-grid caveat,The closure route is sampled-grid bridge energy:,unspecified,True,False
S0052,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,239,sampled-grid caveat,"\|B_J\|_{2,T_J}^2\le100h.",unspecified,True,False
S0053,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,247,sampled-grid caveat,"\frac{\|B_J\|_{2,T_J}}{\sqrt h\log^2 p^*}",unspecified,True,False
S0054,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,257,P0 transition statement,"P_0=500,000,000,",unspecified,True,False
S0055,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,282,sampled-grid caveat,## 5. Critical H-Exc Caveat: Sampled Grid Only,unspecified,True,False
S0056,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,284,sampled-grid caveat,The H-Exc bridge theorem is sampled-grid only.,unspecified,True,False
S0057,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,289,sampled-grid caveat,T_J,unspecified,True,False
S0058,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,301,sampled-grid caveat,\sum_{t\in T_J}|B_J(t)|^2\le100h.,unspecified,True,False
S0059,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,312,sampled-grid caveat,Every H-Exc statement in the paper must carry the \(T_J\) sampled-grid subscript.,unspecified,True,False
S0060,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,327,sampled-grid caveat,\qquad r\in R_J=T_J-y.,unspecified,True,False
S0061,Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\conceptual\Prime_Mesh_R2Q_Final_Conditional_RH_Assembly_Update_v5.md,335,sampled-grid caveat,"\frac{\|B_{\rm prime}\|_{2,T_J}^2}{h}.",unspecified,True,False
