statement_id,file_name,file_path,line,statement_type,statement_text_or_paraphrase,scope,symbolic_or_conditional_or_certificate,v5_compatible,needs_repair
S0011,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,41,gap safety statement,Coordinate gaps between sparse candidate windows are expected and do not by themselves prove a counterexample. They do show that the current candidate list is not a literal full coordinate tiling.,symbolic,symbolic,True,False
S0012,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,41,warning about sparse windows,Coordinate gaps between sparse candidate windows are expected and do not by themselves prove a counterexample. They do show that the current candidate list is not a literal full coordinate tiling.,symbolic,symbolic,True,False
S0013,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,45,upper jump generation statement,- Upper audited candidates: `120`.,certificate,certificate,True,False
S0014,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,45,certificate-backed candidate coverage statement,- Upper audited candidates: `120`.,certificate,certificate,True,False
S0015,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,46,upper jump generation statement,- Upper represented candidates: `120`.,unspecified,unspecified,True,False
S0016,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,47,upper jump generation statement,- Upper unrepresented candidates: `0`.,unspecified,unspecified,True,False
S0017,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,49,lower drift bracketing statement,## 7. Drift Interval Bracketing,unspecified,unspecified,True,False
S0018,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,51,lower drift bracketing statement,- Lower audited candidates: `22`.,certificate,certificate,True,False
S0019,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,51,certificate-backed candidate coverage statement,- Lower audited candidates: `22`.,certificate,certificate,True,False
S0020,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,52,lower drift bracketing statement,- Lower bracketed audited candidates: `22`.,certificate,certificate,True,False
S0021,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,52,certificate-backed candidate coverage statement,- Lower bracketed audited candidates: `22`.,certificate,certificate,True,False
S0022,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,53,lower drift bracketing statement,- Lower unbracketed audited candidates: `0`.,certificate,certificate,True,False
S0023,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,53,certificate-backed candidate coverage statement,- Lower unbracketed audited candidates: `0`.,certificate,certificate,True,False
S0024,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,59,certificate-backed candidate coverage statement,- Finite continuous certificate passes: `True`.,unspecified,unspecified,True,False
S0025,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,65,warning about sampled grid,- Uses sampled-grid `T_J` for continuous selection: `False`.,unspecified,unspecified,True,False
S0026,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,66,warning about sampled grid,- Uses full-grid H-Exc upgrade: `False`.,unspecified,unspecified,True,False
S0027,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Audit_v1.md,71,continuous candidate-selection claim,"`Audited post-P0 candidates are covered and finite/P0 transition passes, but the continuous all-x theta-window/no-gap theorem remains conditional.`",symbolic,symbolic,True,False
S0028,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,6,continuous candidate-selection claim,**Status:** Conditional closure update for post-\(P_0\) continuous window selection,conditional,conditional,True,False
S0029,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,13,warning about sparse windows,"The Post-\(P_0\) ContinuousWindowSelection audit passes for the audited theta-window candidate universe, but not as a literal full coordinate tiling theorem.",symbolic,symbolic,True,False
S0030,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,18,certificate-backed candidate coverage statement,\boxed{\texttt{theta\_window\_certificate\_conditional}.},conditional,conditional,True,False
S0031,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,35,upper jump generation statement,Upper audited candidates:,certificate,certificate,True,False
S0032,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,35,certificate-backed candidate coverage statement,Upper audited candidates:,certificate,certificate,True,False
S0033,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,43,lower drift bracketing statement,Lower audited candidates:,certificate,certificate,True,False
S0034,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,43,certificate-backed candidate coverage statement,Lower audited candidates:,certificate,certificate,True,False
S0035,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,60,warning about sampled grid,"\text{full-grid H-Exc upgrade used}=\texttt{False},",unspecified,unspecified,True,False
S0036,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,69,certificate-backed candidate coverage statement,Thus the audited candidate universe closes cleanly.,certificate,certificate,True,False
S0037,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,71,gap safety statement,"However, sparse candidate windows have coordinate gaps, so the current data is **not** a literal full \(x\)-coordinate tiling. The remaining theorem is:",symbolic,symbolic,True,False
S0038,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,71,warning about sparse windows,"However, sparse candidate windows have coordinate gaps, so the current data is **not** a literal full \(x\)-coordinate tiling. The remaining theorem is:",symbolic,symbolic,True,False
S0039,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,75,first-exit necessary condition,\text{every possible lower drift / continuous first-exit interval enters or is bracketed by the audited candidate universe.},certificate,certificate,True,False
S0040,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,75,lower drift bracketing statement,\text{every possible lower drift / continuous first-exit interval enters or is bracketed by the audited candidate universe.},certificate,certificate,True,False
S0041,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,75,continuous candidate-selection claim,\text{every possible lower drift / continuous first-exit interval enters or is bracketed by the audited candidate universe.},certificate,certificate,True,False
S0042,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,75,certificate-backed candidate coverage statement,\text{every possible lower drift / continuous first-exit interval enters or is bracketed by the audited candidate universe.},certificate,certificate,True,False
S0043,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,87,certificate-backed candidate coverage statement,142/142\text{ post-}P_0\text{ audited windows covered}.,certificate,certificate,True,False
S0044,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,93,upper jump generation statement,### Upper candidates,unspecified,unspecified,True,False
S0045,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,101,lower drift bracketing statement,### Lower candidates,unspecified,unspecified,True,False
S0046,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,113,upper jump generation statement,\text{no audited upper or lower first-crossing candidate is missing from the theta-window selection.},certificate,certificate,True,False
S0047,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,113,lower drift bracketing statement,\text{no audited upper or lower first-crossing candidate is missing from the theta-window selection.},certificate,certificate,True,False
S0048,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,113,continuous candidate-selection claim,\text{no audited upper or lower first-crossing candidate is missing from the theta-window selection.},certificate,certificate,True,False
S0049,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,121,warning about sparse windows,The audit does not prove that the sparse audited windows tile all post-\(P_0\) coordinates.,symbolic,symbolic,True,False
S0050,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,123,gap safety statement,There are coordinate gaps between sparse candidate windows.,unspecified,unspecified,True,False
S0051,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,123,warning about sparse windows,There are coordinate gaps between sparse candidate windows.,unspecified,unspecified,True,False
S0052,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,131,first-exit necessary condition,\text{any genuine continuous first-exit interval must be one of the audited/bracketed candidate intervals.},certificate,certificate,True,False
S0053,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,131,continuous candidate-selection claim,\text{any genuine continuous first-exit interval must be one of the audited/bracketed candidate intervals.},certificate,certificate,True,False
S0054,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,139,gap safety statement,\text{coordinate gaps between sparse candidates cannot contain a new unrepresented first crossing.},unspecified,unspecified,True,False
S0055,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,139,warning about sparse windows,\text{coordinate gaps between sparse candidates cannot contain a new unrepresented first crossing.},unspecified,unspecified,True,False
S0056,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,163,certificate-backed candidate coverage statement,"142/142\text{ covered},\quad0\text{ uncovered}.",certificate,certificate,True,False
S0057,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,195,first-exit necessary condition,\text{continuous all-}x\text{ first-exit selection into this candidate universe remains unproven.},symbolic,symbolic,True,False
S0058,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,205,warning about sampled grid,### No full-grid H-Exc upgrade,unspecified,unspecified,False,True
S0059,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,210,warning about sampled grid,\text{full-grid H-Exc upgrade used}=\texttt{False}.,unspecified,unspecified,True,False
S0060,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,213,warning about sampled grid,Therefore the result does not silently convert sampled-grid H-Exc into full-grid continuous coverage.,unspecified,unspecified,True,False
S0061,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,243,upper jump generation statement,"Upper candidates are represented, lower candidates are bracketed.",unspecified,unspecified,True,False
S0062,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\closure_updates\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Conditional_Closure_Update_v1.md,243,lower drift bracketing statement,"Upper candidates are represented, lower candidates are bracketed.",unspecified,unspecified,True,False
